org:role;slp:resource_uri
4f065fc7-2602-4c38-9406-59ce87fec385;7b21046c-df61-11e7-8094-c82a144c0a85
d623152c-2942-4314-a502-6f8dd7084a41;7b2132de-df61-11e7-8882-c82a144c0a85
f0ec22b1-a36f-4b87-acf5-b2361df42768;7b2138a6-df61-11e7-baf1-c82a144c0a85
e8d1db76-6294-40b3-83f5-cd0ddd641b4c;7b2160e2-df61-11e7-bad5-c82a144c0a85
06e4a3af-b470-4b01-83f3-395c93124766;7b211b34-df61-11e7-b235-c82a144c0a85
c58786dd-17e5-4149-a925-2d2f4dd03e46;7b210f18-df61-11e7-ba0a-c82a144c0a85
4902b551-cabe-4b76-82aa-46851ec9d404;7b2109d0-df61-11e7-a4af-c82a144c0a85
e5d504f1-a40f-43fe-86c5-30e261f97c30;7b212c9e-df61-11e7-a12b-c82a144c0a85
aa0fa26e-e58c-4086-b527-a9b019e21599;7b212c9e-df61-11e7-a12b-c82a144c0a85
9016c1ee-fe23-402d-bc56-9d5282d110e1;7b212b86-df61-11e7-9f98-c82a144c0a85
521695c3-8b45-411a-86d6-5a987bc93928;7b2139c8-df61-11e7-8d64-c82a144c0a85
c9447dec-ebc5-41ed-8e6b-ed0e856b5777;7b21046c-df61-11e7-8094-c82a144c0a85
9bde2159-5ac2-4dc0-8336-1a43ea1b0f8c;7b21046c-df61-11e7-8094-c82a144c0a85
4a50b1b9-a478-45e1-a0b2-9131071aa809;7b2139c8-df61-11e7-8d64-c82a144c0a85
bfab0a59-46d1-4b4a-9650-04e6a0cca611;7b210cfa-df61-11e7-9864-c82a144c0a85
3b485ae9-59cf-4f5f-810b-9f000e3b7f90;7b20ed7e-df61-11e7-bb65-c82a144c0a85
e4305c3e-0d1c-4a55-8007-91c2007958a5;7b21046c-df61-11e7-8094-c82a144c0a85
f2ea5159-fd64-418e-b86d-fc902db3ab21;7b211a38-df61-11e7-b1b8-c82a144c0a85
8e50e3f7-5838-4b43-ade3-4b18aff37a2a;7b210cfa-df61-11e7-9864-c82a144c0a85
1adff383-c0e8-4127-ae4f-1dce433306b9;7b211a38-df61-11e7-b1b8-c82a144c0a85
fb333f38-da2f-4234-a1d3-ea1f2767e4d8;7b2109d0-df61-11e7-a4af-c82a144c0a85
f9c60220-2466-40ac-a182-d96356db75b9;7b2139c8-df61-11e7-8d64-c82a144c0a85
a2a77d7f-1a71-40da-981b-c492000e4638;7b212b86-df61-11e7-9f98-c82a144c0a85
d5130d7f-3cae-445a-b04d-abbcfbb389a7;7b212e92-df61-11e7-aaf4-c82a144c0a85
f1a7543a-2f65-4f5e-ab1a-569407ed932e;7b212b86-df61-11e7-9f98-c82a144c0a85
ac62c676-7b76-46d4-9423-6b8bfd90e1e5;7b210cfa-df61-11e7-9864-c82a144c0a85
cf0dc3b8-6794-4d30-ace2-20352ff1ea68;7b212e92-df61-11e7-aaf4-c82a144c0a85
a6568daa-4d22-440f-9f78-88960468dd44;7b210cfa-df61-11e7-9864-c82a144c0a85
ef2b4f6e-6ed6-4478-9535-2806a125cd9c;7b210cfa-df61-11e7-9864-c82a144c0a85
309dd907-544e-4617-b958-a3d1afa21d56;7b210cfa-df61-11e7-9864-c82a144c0a85
efdc8736-f467-4a95-898d-258ada8b800d;7b20f90c-df61-11e7-a941-c82a144c0a85
7eebb1ef-0765-4784-8220-4bf894da2b38;7b211a38-df61-11e7-b1b8-c82a144c0a85
caa0edb4-6db6-429e-a5d4-f5901314ab08;7b212d98-df61-11e7-95f7-c82a144c0a85
cbdd6731-547b-4c27-8319-c77014d183ad;7b210cfa-df61-11e7-9864-c82a144c0a85
b4004137-4a50-4bbb-b58d-476868cbe278;7b20f90c-df61-11e7-a941-c82a144c0a85
1ff3ef4a-e710-4225-87d6-361ca102d0d4;7b2138a6-df61-11e7-baf1-c82a144c0a85
a5708883-7866-477d-b9db-8fff519ee359;7b210cfa-df61-11e7-9864-c82a144c0a85
a33092e4-cdff-4f12-960e-227355a89954;7b20ed7e-df61-11e7-bb65-c82a144c0a85
9d470536-099b-4586-b1c9-c855fdda3c47;7b212d98-df61-11e7-95f7-c82a144c0a85
ef718dcb-bbad-4cdf-abce-7973fedd9bbb;7b210070-df61-11e7-97e9-c82a144c0a85
7448a442-bd5a-443f-8ce0-9e844cb75692;7b2138a6-df61-11e7-baf1-c82a144c0a85
f5fcfb96-824f-4023-aecc-6aa71d99e3c0;7b210cfa-df61-11e7-9864-c82a144c0a85
1904268a-2376-4b6d-911e-0f6dee9e8b91;7b212d98-df61-11e7-95f7-c82a144c0a85
036eac52-68d4-4db8-9410-5dddc0b6e327;7b20ed7e-df61-11e7-bb65-c82a144c0a85
a3119d9a-18cf-4821-8693-f4267f0b401a;7b21046c-df61-11e7-8094-c82a144c0a85
b0d96cb1-1dd5-4fb0-9dc0-a631a6a19e98;7b20ed7e-df61-11e7-bb65-c82a144c0a85
