org:role;slp:resource_uri;org:postIn
99309d9f-e33c-4db7-b583-7c73afb13d7e;14a65063-dadc-4658-9d82-ba0a15869605;7b2148e6-df61-11e7-b174-c82a144c0a85
57454108-5787-4efd-8484-25af66ffe3f1;e3794d00-f1ca-4141-bbc1-7a684e1004b7;7b212e92-df61-11e7-aaf4-c82a144c0a85
026bb90e-2253-463f-b9c1-abdb00280b73;5df7feb3-f49f-47f6-9d2f-501547b29d63;7b21193e-df61-11e7-8869-c82a144c0a85
ca354fa5-6ea6-40da-b560-0d5dfb76a647;bb56c88a-278b-4009-889a-318a5653cdd5;7b212e92-df61-11e7-aaf4-c82a144c0a85
aa7e93b3-59c3-43f9-8b7d-0ec9b0bcf893;95cc1ae3-c9d2-464a-b9d2-31ec4b635e91;7b210070-df61-11e7-97e9-c82a144c0a85
64734eb9-f43c-4022-8838-4f16bb7e153f;7fddf9cc-9a66-4a25-a119-6b96d05a58f7;7b212b86-df61-11e7-9f98-c82a144c0a85
0f33746e-d32a-4833-a921-a0a7e67e7464;78f0710d-99b8-45c7-9556-f6932ee36599;7b2132de-df61-11e7-8882-c82a144c0a85
e43bd014-9c9f-4881-9956-db2b3b55eb2a;0e1b0a5e-2c5d-499b-a6d4-72a544b28512;7b21152e-df61-11e7-bdcf-c82a144c0a85
36b7664a-81b0-4b27-a66e-4063e2f96349;8d105b75-617c-4c24-8150-02eaf67de786;7b212b86-df61-11e7-9f98-c82a144c0a85
4548f02f-b20d-48d9-94c1-3e67d379da1b;b5762c01-0233-40c8-8864-badbf86ab81f;7b210e1c-df61-11e7-b99b-c82a144c0a85
1c5c429e-046e-4710-86db-839748a5ebdd;486f912a-6c24-42a9-8ee7-afdf1e132c4b;7b213f54-df61-11e7-9eec-c82a144c0a85
6d9c1057-2c15-4ab2-b249-ff44418bde6b;32c93b5d-750c-414d-98cc-3db0efad2b61;7b214aa8-df61-11e7-a515-c82a144c0a85
be24050f-3b66-42af-a85c-d9414e785950;0c965aa1-fa20-4fe2-a5ed-1a8ee0f17e75;7b21152e-df61-11e7-bdcf-c82a144c0a85
75be45af-05be-43fe-ae57-c2964362defc;adf3dc46-a796-4639-b75e-396b42b96047;7b212b86-df61-11e7-9f98-c82a144c0a85
7377e310-92fc-475e-ab04-6d7bd0d37423;4ca4a784-c293-4ac3-8a12-b4454a84f8c8;7b212b86-df61-11e7-9f98-c82a144c0a85
395fb667-05eb-4faa-bee4-fb72d55a7476;f39957fa-867a-4d76-ab2a-e413ce730d46;7b20e63a-df61-11e7-b49c-c82a144c0a85
f2764f28-1752-401d-b04f-ccc6143fcb38;b8142ca0-04b1-4cc5-bd34-e55b1bd11e3c;7b211b34-df61-11e7-b235-c82a144c0a85
d9e5e608-2541-4e6f-9b52-d582c9330df7;019b3894-d359-4c5f-93b4-f53a3c6c7a56;7b21152e-df61-11e7-bdcf-c82a144c0a85
45963e07-db8f-4a94-84d4-1e62ca3e7aad;f6791237-9521-4957-a54f-7e347572682e;7b212d98-df61-11e7-95f7-c82a144c0a85
b9fe38d5-1039-4d89-8d9e-39daec67ebd6;48dfb613-a99c-4837-b993-2430f59bb356;7b214546-df61-11e7-b9be-c82a144c0a85
7a74a6f2-16d5-4b1a-b957-112a3bbf8886;2eb672e1-9dfd-4f1c-ab35-e11775cb25d0;7b214350-df61-11e7-b1a0-c82a144c0a85
