NumeroLegislatura;org:member;org:role;sen:CodigoMandato;sen:UfParlamentar;sen:finishDate;sen:startDate;org:role;resource_uri;org:postIn
55;46d469e2-f0d5-4f44-b4a6-fa8e59dc3200;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;479;PB;2019-01-31;2015-02-01;ac1153f4-223a-4f64-82cf-55aea7863feb;e36b612f-3cd9-420f-a6f5-f04ece37d266;81311052-e5b6-46fe-87ba-83865fa0ffb0
55;85c306bd-a67a-45e1-98a2-9271c30ede43;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;506;MT;2019-01-31;2015-02-01;884dd2e9-8e06-4434-8855-a4d900f04035;ca7655fc-5d2e-46fd-bf8a-07db9603575c;81311052-e5b6-46fe-87ba-83865fa0ffb0
56;85c306bd-a67a-45e1-98a2-9271c30ede43;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;506;MT;2023-01-31;2019-02-01;a807905b-b6c0-4b05-afa3-2fb34bdeadf1;e88a235e-5e06-470a-b32d-8324ca034901;81311052-e5b6-46fe-87ba-83865fa0ffb0
54;9caed2a2-635d-4752-8d3d-db487a2279e6;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;454;BA;2015-01-31;2011-02-01;064e1265-c00d-4471-8716-fe75e17eae6b;922de6a6-c567-4d3b-91d8-22121608df6b;81311052-e5b6-46fe-87ba-83865fa0ffb0
55;9caed2a2-635d-4752-8d3d-db487a2279e6;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;454;BA;2019-01-31;2015-02-01;f43ca3db-d213-4f91-89a4-b98976dd9ea0;aea7e103-d652-43fc-95d3-b09bf1bdf64f;81311052-e5b6-46fe-87ba-83865fa0ffb0
54;773b8a1d-d3eb-4d14-a955-1dc65a223adc;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;450;CE;2015-01-31;2011-02-01;b79aef85-0269-462b-9eca-c9818f959d98;06f12427-ad3c-471b-af2d-e80f492d8a42;81311052-e5b6-46fe-87ba-83865fa0ffb0
55;773b8a1d-d3eb-4d14-a955-1dc65a223adc;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;450;CE;2019-01-31;2015-02-01;b4f76f90-e0f2-41fe-960c-52f57321ebd6;b30c578a-a6db-432c-bcc4-81804fb9136b;81311052-e5b6-46fe-87ba-83865fa0ffb0
54;103aa65b-7fcf-445d-8d44-de9025e17e03;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;488;PI;2015-01-31;2011-02-01;aa1db1b2-2f8e-4299-952d-e782e65082a0;88fb8ba9-24b6-497f-aeda-7373484bdd79;81311052-e5b6-46fe-87ba-83865fa0ffb0
55;103aa65b-7fcf-445d-8d44-de9025e17e03;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;488;PI;2019-01-31;2015-02-01;a6415c43-e3d8-44f4-a44c-49940c130fc6;ebcf1e80-d163-4dae-ab85-af623914a10f;81311052-e5b6-46fe-87ba-83865fa0ffb0
55;0b01d8b2-d333-485a-a952-f64498821d46;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;509;RJ;2019-01-31;2015-02-01;e6425d36-5f07-44dd-bc9a-5b18727bfacd;ca1ebe28-69b4-4369-bc07-a7d3dd3ec41f;81311052-e5b6-46fe-87ba-83865fa0ffb0
56;0b01d8b2-d333-485a-a952-f64498821d46;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;509;RJ;2023-01-31;2019-02-01;57b87374-504e-4ef9-a471-d47006375c6b;22e26fed-f346-41ef-98a3-03c8e76b84ec;81311052-e5b6-46fe-87ba-83865fa0ffb0
54;b8daac6a-c70c-48b0-816e-f73fe38c6a03;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;440;PB;2015-01-31;2011-02-01;c4d1e207-6f1e-4ffb-acfc-e13e1e94f892;ee44f14a-4cb2-412f-93ba-dee9e37d2acb;81311052-e5b6-46fe-87ba-83865fa0ffb0
55;b8daac6a-c70c-48b0-816e-f73fe38c6a03;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;440;PB;2019-01-31;2015-02-01;a3d3e2f7-64e7-47fb-bc42-cf5e222594e9;28a74672-5231-41c6-a079-94a7472fb853;81311052-e5b6-46fe-87ba-83865fa0ffb0
54;ba6c7f82-f5f5-4d0d-a897-695d36853e87;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;451;TO;2015-01-31;2011-02-01;0d86e784-6f75-4476-b004-7fb7b601b67e;e953cd01-dfde-48a7-bd54-f34f1e6e1167;81311052-e5b6-46fe-87ba-83865fa0ffb0
55;ba6c7f82-f5f5-4d0d-a897-695d36853e87;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;451;TO;2019-01-31;2015-02-01;562e3b49-c7bf-4323-91c1-3fb700226bd9;60f7f88e-6e2e-488d-b14e-579686ad0d7f;81311052-e5b6-46fe-87ba-83865fa0ffb0
54;a3d0a02d-ce34-45c3-a273-561bb446048a;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;446;MS;2015-01-31;2011-02-01;de053968-500e-4967-9a8d-2065ab0b083c;5e260331-7ba6-4499-a4a0-b28ab7d90e00;81311052-e5b6-46fe-87ba-83865fa0ffb0
55;a3d0a02d-ce34-45c3-a273-561bb446048a;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;446;MS;2019-01-31;2015-02-01;a2af5283-fe35-4668-9f83-768e0d3fe032;641f4faf-268f-4e4f-91fa-529f9eb2a36d;81311052-e5b6-46fe-87ba-83865fa0ffb0
55;2feb6e41-3a6e-4e4c-a6d0-0a1df21058f0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;517;SE;2019-01-31;2015-02-01;4e0778e1-325f-47e0-9338-fbcb3b948ec7;013ead82-3092-4fc8-9f8c-db677eb03673;81311052-e5b6-46fe-87ba-83865fa0ffb0
56;2feb6e41-3a6e-4e4c-a6d0-0a1df21058f0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;517;SE;2023-01-31;2019-02-01;f7dfdb3a-aad9-463c-8c85-86da13bb6dd4;1afb7c6e-6b70-4133-9c56-3ff5c7dab9b5;81311052-e5b6-46fe-87ba-83865fa0ffb0
54;30905060-49e1-4af5-bbbf-e3b91c4b22e6;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;437;AM;2015-01-31;2011-02-01;97479b57-cafb-41e5-aa57-4809f5c0ffba;3f7aa149-c4ba-4819-a4ac-314269e98189;81311052-e5b6-46fe-87ba-83865fa0ffb0
55;30905060-49e1-4af5-bbbf-e3b91c4b22e6;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;437;AM;2019-01-31;2015-02-01;d0a7626c-03fc-4f48-8ac7-c110218b4f28;930f88cb-a3e8-45a2-a672-8fd7700fd270;81311052-e5b6-46fe-87ba-83865fa0ffb0
54;aa580328-ce9b-4f0f-a261-9a2a22eec77c;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;453;RO;2015-01-31;2011-02-01;81b71c6f-26fa-49d0-a4f1-aedd0c008c22;9dac491a-9f7c-43d6-83c6-aa1ca38e251f;81311052-e5b6-46fe-87ba-83865fa0ffb0
55;aa580328-ce9b-4f0f-a261-9a2a22eec77c;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;453;RO;2019-01-31;2015-02-01;f1fbdeaf-d3c9-43a1-93c6-0d4885232b9a;95cb71e8-b7dd-4146-999c-7b64c04f2e70;81311052-e5b6-46fe-87ba-83865fa0ffb0
54;f5562161-6541-4a77-b619-c1f64f7ee3f1;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;481;RN;2015-01-31;2011-02-01;795d4e98-73c3-471d-be4e-ea8bea71c245;5f403aae-0706-4bb3-8cab-5d96ec2fc6d1;81311052-e5b6-46fe-87ba-83865fa0ffb0
55;f5562161-6541-4a77-b619-c1f64f7ee3f1;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;481;RN;2019-01-31;2015-02-01;643cb72a-a357-46cf-a33c-131731029255;78d2494a-bba5-411a-abf8-979527478488;81311052-e5b6-46fe-87ba-83865fa0ffb0
54;4e75cf93-2dd6-40af-8aec-acb29b4d61de;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;449;RS;2015-01-31;2011-02-01;9f5f194e-d439-40e6-b10a-3650f39be155;7b45022e-99b0-46b1-b38c-5ff42de7b3da;81311052-e5b6-46fe-87ba-83865fa0ffb0
