cam:finishDate;cam:siglaUFRepresentacao;cam:startDate;org:member;org:role;slnp:resource_uri
2015-01-30;AC;2011-02-01;ab7564b4-5f26-43d8-9781-95fc45def145;22a2ecf6-5f03-4da9-bc89-48319d152403;1106ecfd-483f-4725-9ebc-8d0d789de2db
2015-01-30;PA;2011-02-01;36f34afa-11ad-43ee-a92e-e840e8072093;22a2ecf6-5f03-4da9-bc89-48319d152403;5f963748-4bd6-41e5-b23a-460b4082dca7
2011-12-01;MT;2011-02-01;f75b03a9-296c-403e-9586-51bcf51f3b2e;22a2ecf6-5f03-4da9-bc89-48319d152403;3d1905b0-91de-48c4-b3ca-33d2f6143449
2015-01-30;BA;2011-02-01;d674ce35-4a5e-46fe-88b9-d5c86701baa3;22a2ecf6-5f03-4da9-bc89-48319d152403;2ab028e2-a58d-4dcc-b8f9-40ed4e4abb08
2011-02-01;BA;2011-02-01;d2ca6c50-30b6-443c-816a-bf1d7efe4eed;22a2ecf6-5f03-4da9-bc89-48319d152403;9ac8b16f-d226-4981-9f85-a955ff522913
2011-07-11;SC;2011-02-01;95851e51-2247-4c5c-83df-198e348bb650;22a2ecf6-5f03-4da9-bc89-48319d152403;c7cce853-38f2-4c4a-9d22-49502a750142
2015-01-30;MS;2011-02-01;d9a6e16e-0987-476a-8891-9a5bea1ff97b;22a2ecf6-5f03-4da9-bc89-48319d152403;f3fbbc5b-c51a-44b8-8db3-7c1022a0e262
2013-02-05;MG;2011-02-01;1e2acaf1-c7c3-4bbc-bd4c-87f97c4a3df6;22a2ecf6-5f03-4da9-bc89-48319d152403;324d2031-6b2c-4fb1-b2e0-690217cd1db6
2015-01-30;RJ;2011-02-01;55095b62-7e74-488f-b78e-d2770c78d155;22a2ecf6-5f03-4da9-bc89-48319d152403;42c1c1c4-7d83-49e7-9e2c-03d681cd5fd7
2011-02-01;PA;2011-02-01;b6819753-cd9d-43f4-b760-9dca4e209ed6;22a2ecf6-5f03-4da9-bc89-48319d152403;d7e63b40-8000-46b7-a5ae-50ed235cf077
2015-01-30;MA;2011-02-01;f559448c-25c8-41ba-8332-db6910a90205;22a2ecf6-5f03-4da9-bc89-48319d152403;ea293269-9873-4e7a-92af-afd3f8649607
2014-12-30;PA;2011-02-01;7d99e0fb-f646-4713-aaf0-007d4867beac;22a2ecf6-5f03-4da9-bc89-48319d152403;1fbf96d5-47ec-42c1-98c6-dd7800194d6f
2015-01-30;PE;2011-02-01;67d2ac71-763d-4732-aa45-d926d16dba48;22a2ecf6-5f03-4da9-bc89-48319d152403;7463b48f-35ee-4a86-8b93-59548f25da8a
2015-01-30;PB;2011-02-01;5cf803a9-c089-4eed-91cc-05e61969613f;22a2ecf6-5f03-4da9-bc89-48319d152403;d1a5bbfc-c6b9-415f-9ae7-ff06176f78ca
2015-01-30;PR;2011-02-01;e45a6fef-134e-422a-887f-91f302e5b051;22a2ecf6-5f03-4da9-bc89-48319d152403;63c59956-aaa9-40c4-b441-e18082436910
2015-01-30;PA;2011-02-01;cc3b2dd9-a00a-4108-9275-31405de3239a;22a2ecf6-5f03-4da9-bc89-48319d152403;df676faa-bdf1-440a-a80e-516697f948d5
2015-01-30;SP;2011-02-01;7411c67e-f2ce-4a68-9d1a-724bef5e0d0a;22a2ecf6-5f03-4da9-bc89-48319d152403;7ae44854-a6be-4b2d-ae25-f67b78d2d5dd
2015-01-30;MT;2011-02-01;727ab94b-9d18-4d92-b4a6-4870449abfc7;22a2ecf6-5f03-4da9-bc89-48319d152403;3b81c44d-45de-4c41-b1e1-baac3cd5d1c4
2015-01-30;MG;2011-02-01;391c7d45-f91a-4fa9-8256-140ca98fa506;22a2ecf6-5f03-4da9-bc89-48319d152403;b913564d-9a84-4d57-aec2-8005b126b63d
2015-01-30;MG;2011-02-01;a5735847-c618-40ab-b851-a6f6bd79856d;22a2ecf6-5f03-4da9-bc89-48319d152403;b2582185-c315-43cf-b95f-2fd857a0a3f6
2014-04-09;RJ;2011-02-01;df51d325-94d0-447c-8f42-9c97c4db8f0c;22a2ecf6-5f03-4da9-bc89-48319d152403;6a14d442-b3fc-4ce2-8192-0b81a226d68d
2015-01-30;PB;2011-02-01;20847af9-433c-4ba4-a17e-83a70af68e02;22a2ecf6-5f03-4da9-bc89-48319d152403;ada3aaf5-0be5-46fb-82b3-4805ce58b82b
2015-01-30;MA;2011-02-01;b34e1532-5446-4aee-8eb6-9bbc9b29c2c8;22a2ecf6-5f03-4da9-bc89-48319d152403;4e04bb20-f6f4-428b-93ec-85e4ec111013
2015-01-30;RJ;2011-02-01;f53974d5-c68f-482c-93e1-bb72f66dd272;22a2ecf6-5f03-4da9-bc89-48319d152403;1a2ade94-86bf-464e-9ee8-59aef8f0b9a2
2015-01-30;PA;2011-02-01;edcec9aa-ac91-4459-8a7b-fa7b813d1f54;22a2ecf6-5f03-4da9-bc89-48319d152403;beff1519-b0be-4a56-8b51-6414de1f657b
2015-01-30;AP;2011-02-01;1ccce4e5-22d2-456d-8e55-11fdcd1780a2;22a2ecf6-5f03-4da9-bc89-48319d152403;d6a22d4f-7e6f-49d8-96b0-0a5eb8fab028
2011-02-08;GO;2011-02-01;e3558a4e-796e-4bc5-a66b-d0c9f24a036f;22a2ecf6-5f03-4da9-bc89-48319d152403;3b93aabc-b2bd-4bdb-bfe2-af6b1f63b1d5
2015-01-30;RJ;2011-02-01;ef624285-c830-4599-aa3a-57f04baccb0c;22a2ecf6-5f03-4da9-bc89-48319d152403;b3b9ec47-7131-43ae-be69-366e9d6d8029
2015-01-30;RS;2011-02-01;ecc46159-e840-41e6-9839-606cd1c2fae2;22a2ecf6-5f03-4da9-bc89-48319d152403;51ea3d06-dbd6-4d10-b772-622ea6e0605c
2015-01-30;SP;2011-02-01;90f197ca-07c6-4480-a355-9d064f8d0601;22a2ecf6-5f03-4da9-bc89-48319d152403;2533dd6c-77a0-4063-9ad3-2737d393a491
2015-01-30;SP;2011-02-01;079ee1db-f9ed-4534-986d-965f5afce022;22a2ecf6-5f03-4da9-bc89-48319d152403;e2f9196e-d684-414f-afd6-b7f979a29ac6
2015-01-30;CE;2011-02-01;90109896-339d-4113-917a-7ec37abda14c;22a2ecf6-5f03-4da9-bc89-48319d152403;8da76ff8-a38d-42ce-8ce1-0f3c7c2184dc
2014-12-31;RS;2011-02-01;695db297-eade-4707-9a5b-ed3b93bec864;22a2ecf6-5f03-4da9-bc89-48319d152403;3332f9a8-6c03-4cf0-ba23-4990a8dba122
2015-01-30;SP;2011-02-01;2268b541-0ced-4533-aad1-646e633e275e;22a2ecf6-5f03-4da9-bc89-48319d152403;526be393-fda9-4e85-9f3a-8695ddd258c3
2013-12-04;SP;2011-02-01;19624ba1-462f-401b-895a-b426143dba38;22a2ecf6-5f03-4da9-bc89-48319d152403;b96e2a45-17fe-4cb3-ac03-24d62e08d1ae
2015-01-30;SE;2011-02-01;b5ff7431-f654-4adf-881c-bb2693df6e63;22a2ecf6-5f03-4da9-bc89-48319d152403;413e0146-9170-4545-917b-02b9a17a773a
2015-01-30;SP;2011-02-01;96c4685d-628a-42a5-ab8b-30a9c2dae64e;22a2ecf6-5f03-4da9-bc89-48319d152403;c9af8701-985d-4a45-a2a3-73a2805d1819
