org:member;org:role;sen:CodigoMandato;sen:UfParlamentar;sen:finishDate;sen:startDate;slnp:resource_uri
771752b3-6847-45c0-b993-6624fae2f95f;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;363;RN;2011-12-06;2011-01-05;000031cc-7873-437f-9c2f-19b896b86948
9ccf37e4-b726-4412-aea8-38871564e80a;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;472;GO;2014-11-14;2014-07-24;fbeae83a-2f6c-4c3f-8155-efa3f404d6b9
c68c281a-b03f-441d-b3ef-5b6c30aaf3d0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;487;PA;;2011-02-01;13ed0be8-50f1-4017-9c1c-547ba2b309ab
a9d214c3-9380-421b-8c67-1a4a0d588514;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;349;RO;2009-11-04;2007-02-01;b98b4487-30a9-417c-9c97-36d0743b637d
c578bf16-2267-4616-bb52-cdb2f927f3bf;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;491;PA;2015-04-07;2015-01-30;955b2764-d7cb-43fe-821d-f7a25e7337ac
d4320e85-c04a-4b6f-a648-9a8a49971ee9;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;345;AL;2015-01-31;2009-01-11;e0e8f511-1418-4758-8428-f6c91decd09f
d4320e85-c04a-4b6f-a648-9a8a49971ee9;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;345;AL;2008-09-09;2007-12-28;ba74f8d9-a0bb-4aa2-b9e4-108f211856d4
d4320e85-c04a-4b6f-a648-9a8a49971ee9;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;345;AL;2007-08-29;2007-02-01;c0a6b043-d74b-46af-96d8-84aed0b874ce
984cf1ef-d1f7-4417-a012-d2ad6d2dff4f;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;450;CE;;2011-02-01;55f5ff96-3457-4106-916c-3c6078655694
4a5d0ee1-f758-448a-b4ae-c42fd51f8ac8;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;345;AL;2008-09-11;2008-09-10;9a49130f-6fec-483d-8b22-b96a3d19c6ed
4a5d0ee1-f758-448a-b4ae-c42fd51f8ac8;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;345;AL;2007-12-27;2007-08-30;43db6b5a-3f91-482e-aaa5-ca058d8293b1
52439678-a109-4c35-83f1-e70fcdb1827f;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;348;MA;2015-01-31;2007-02-01;a9b24551-94f6-4cb1-a922-959bad68c9b0
987bb9dd-1724-42b7-9627-a7571bc5fa42;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;350;RJ;2014-12-17;2007-02-01;aca82f13-d10f-47bb-9255-563f4751d334
15700a7b-f51c-4bfa-94eb-6d87e31d38bb;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;474;SE;2018-03-22;2017-11-22;42a33a1f-ec1b-4146-94c4-6da3a1956e4c
9e8f856f-05e3-4d67-b6a0-1741adba85a5;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;347;MG;2011-01-02;2007-02-01;1a695d41-e59d-48da-b8b2-3d90aa82abde
5f9164c4-67fd-4e62-be9c-0e6f595b7436;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;370;SP;2015-01-31;2007-02-01;38d7e77e-0547-4353-812d-535ba9af014b
c2ba68c1-bc7d-4def-94d3-855750bff98c;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;480;RJ;;2017-01-02;d30615db-91f2-41c9-82bf-39a8015a37e4
c2ba68c1-bc7d-4def-94d3-855750bff98c;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;480;RJ;2016-09-30;2016-06-06;f0d1e8e7-4e9d-45ae-a8ca-6b73315718cf
c2ba68c1-bc7d-4def-94d3-855750bff98c;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;480;RJ;2014-03-14;2012-03-06;ff542c94-e38a-4c8e-a529-f9dc7a4d89a3
b89f56d8-92bd-4bac-b9fc-b289fcc8ce1c;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;445;MA;;2018-04-20;7bb29fb4-23e7-4d04-8837-fec3c68a1c6e
b89f56d8-92bd-4bac-b9fc-b289fcc8ce1c;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;445;MA;2017-12-15;2015-01-01;c1a3f216-ce10-4895-8122-6a62ddf93000
