org:member;org:role;sen:CodigoMandato;sen:UfParlamentar;sen:finishDate;sen:startDate;slp:resource_uri
a6ea9770-77de-4878-b441-7ebf133fb20d;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;444;CE;;2011-02-01;3860194b-a86c-4f27-af55-7ac13d538f00
980e8857-900b-449b-a542-1f63fc15217f;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;516;SP;2017-02-22;2016-05-17;e84c2feb-ccc0-4620-96b9-f90bc522f566
889f1479-763c-4a7c-9227-7a56f529ca63;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;484;AC;;2011-02-01;8b5f3ad0-4713-4e1b-b59c-82450174e85a
42fea3c9-b592-4de2-9e69-3663496da84d;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;481;RN;;2011-02-01;80fff5cd-2844-49f6-9659-5c30b6623d32
d1432cea-33cd-41ad-8448-c5b992517974;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;464;AP;2011-11-25;2011-03-31;f35e9cf9-be1e-4ee8-93aa-069120175239
d110ad50-b837-4e68-af12-bc25a486dc96;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;510;RN;;2015-02-01;fe04a6bf-9843-427e-ab91-de8f95b0f0e0
4db675e0-4aa8-48ab-a280-ff0167d3e9e1;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;491;PA;;2015-04-07;8555c938-6e14-416a-ac61-55dbb08bd276
4db675e0-4aa8-48ab-a280-ff0167d3e9e1;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;491;PA;2015-01-30;2011-12-28;5f3d1cee-5500-4c47-bea1-adc5c55960d6
f4b4efae-b535-428f-8ff7-a8bb82553bc5;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;476;RN;;2015-01-01;67b7717a-ddae-4cfd-b9ce-b95ba761e50d
f4b4efae-b535-428f-8ff7-a8bb82553bc5;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;476;RN;2011-02-01;2011-02-01;54c7417d-e5d6-41c3-9b19-6e55596c56ae
47113c02-c632-4e92-911f-e46740893a62;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;515;RO;2016-09-14;2016-09-08;008fc333-0edb-4c8f-8b0e-6bbecf5b3e78
697fc6b3-a453-4bd4-ab2a-1ee5b91cda2d;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;477;RO;;2014-11-13;4a918291-e862-4d5c-91b0-11882025ac8d
697fc6b3-a453-4bd4-ab2a-1ee5b91cda2d;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;477;RO;2014-07-15;2011-11-14;68e7e628-d2e4-495d-86a1-7f5a0ffaede7
697fc6b3-a453-4bd4-ab2a-1ee5b91cda2d;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;477;RO;2011-07-12;2011-02-01;42e40824-e351-4f19-b559-459a5f19654e
3176d340-324d-4ff4-a836-57c770416f70;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;487;PA;;2011-02-01;55baaba4-4d8a-44b5-a5d0-3cf98a8e642d
f19c4767-4f7d-4dde-ae39-c5d484ef409d;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;472;GO;2014-11-14;2014-07-24;701244a2-c255-49aa-a186-415919aefd01
676480d1-9f1b-4e57-90f7-5cb55e8740c5;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;474;SE;2018-03-22;2017-11-22;d5c61a6e-1873-490d-b907-978e228f674c
f3573a5d-f682-44a3-91bb-4fb4112261f3;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;450;CE;;2011-02-01;c83294ef-1e29-4a42-8d16-1ec36b80e2be
539675a6-9c3a-441b-bc73-8bf59c25a844;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;496;PI;;2015-02-01;af7e26f9-014f-4f38-b397-a611b4d28ac0
9fd1d65b-4e28-4f6d-9c81-e7d2cd0ef149;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;480;RJ;;2017-01-02;63816e50-4ac6-44e1-8858-0236b7863b4e
9fd1d65b-4e28-4f6d-9c81-e7d2cd0ef149;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;480;RJ;2016-09-30;2016-06-06;2fd49559-1499-49d0-a736-acd340789e62
9fd1d65b-4e28-4f6d-9c81-e7d2cd0ef149;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;480;RJ;2014-03-14;2012-03-06;bc26c498-a039-4cad-a994-04b3d7606118
bab65a04-52d2-45d7-b05d-6918c58208d4;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;491;PA;2015-04-07;2015-01-30;5eacd709-abaf-45ac-897e-7dce6ea408a4
a40aed7e-6209-40d2-8323-cb89fef4cfde;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;511;AL;;2015-02-01;09f9ea5b-1d93-4a6a-b7f4-890a468c4476
ac35b088-2ea5-4ed3-83c2-7feb3313c881;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;519;PE;;2015-02-01;7e34e4d5-f39f-43cb-8b57-98c900d74c9c
fe4c727c-4d04-47b9-84e1-9adbfa61c255;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;473;AM;;2016-04-22;5e20beb5-449a-457e-bae5-828371c47723
fe4c727c-4d04-47b9-84e1-9adbfa61c255;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;473;AM;2015-01-01;2011-02-01;885207a2-9db7-4da7-ad34-0f8a35eacc72
e8b59f6d-c298-44cb-8117-c6069a74e771;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;447;MS;2016-05-10;2011-02-01;143e59f1-ae63-4007-9b9e-8f29fbbb787d
a61782ef-5e80-4994-8094-123d2b87033e;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;478;SE;;2014-11-22;ae655c19-5129-4dec-82fc-cae001accda2
a61782ef-5e80-4994-8094-123d2b87033e;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;478;SE;2014-07-21;2012-04-05;18676985-eaff-4595-b881-b0ff92beea5c
a61782ef-5e80-4994-8094-123d2b87033e;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;478;SE;2011-12-05;2011-02-01;577a7708-9843-4c56-a554-cfa31706572d
918e3bf2-12a2-4467-a11d-005cc2200978;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;443;PE;2016-05-08;2015-01-01;282dd447-1432-4a8b-adf6-497f677f25df
918e3bf2-12a2-4467-a11d-005cc2200978;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;443;PE;2014-11-14;2014-07-17;083f3ec3-9096-4328-841a-c082defae3f4
