cam:finishDate;cam:sigla;cam:startDate;org:member;org:role;slp:resource_uri
;PSDC;;eff1391c-b46a-4f2e-bfce-65f9eddd3b35;4f9bf6bd-7844-48e3-9091-f2cbc7847868;50da2e08-1a21-4cde-a249-b7deb092b114
;PMB;;eff1391c-b46a-4f2e-bfce-65f9eddd3b35;6da07034-a3b2-42fd-beb4-6ff5f631c938;f2f6eec5-6c5b-4c85-997d-5e4cd49edecd
;PTN;;eff1391c-b46a-4f2e-bfce-65f9eddd3b35;4855c243-d1ec-439f-880d-fa6a957d3632;358e44f3-8cc3-404f-839e-ffddfa1b430e
;PODE;;eff1391c-b46a-4f2e-bfce-65f9eddd3b35;aa6e7bd2-e09c-4d3f-95e1-1815b1b8ad42;f2d6c412-de0d-4e67-bee9-4fd3470dbe5f
;PT;;f5735090-acbc-4d7b-b4bc-bdcd1c15c92a;88674bb1-0b47-4199-82c7-099fdfe01121;eca1a125-53c0-4e10-96a3-d7e8dd94a388
;PT;;9aba8810-4581-4f77-ac52-73f353b125ad;d0f55034-99f0-46b3-9bfa-a2841bdba461;1ac35891-1ce0-42f1-9112-34266cf81135
;PMB;;9aba8810-4581-4f77-ac52-73f353b125ad;4e223fb0-9406-4b4d-9539-4465a3eea2e5;e7e0a0a2-6331-4947-902d-755c6af2dd08
;PDT;;9aba8810-4581-4f77-ac52-73f353b125ad;635a9a95-3ba6-41e0-8dcb-544de023a5a4;da899328-da19-46e3-b99e-78badd78c949
;PSOL;;d327aa35-6715-4841-a8df-e7288a767a03;b07f0301-dfdd-4d34-8ded-df7ee8da3a54;3ebf9494-3f55-4cdc-959a-220b82d17831
;S.PART.;;d327aa35-6715-4841-a8df-e7288a767a03;74943d79-d125-4c0c-8088-f1c606ae078e;681a0e94-5b2a-473d-8bfc-4a8c0f1cdbcb
;PTdoB;;d327aa35-6715-4841-a8df-e7288a767a03;7319f5c0-267e-4297-84ab-5e7cf57fea94;55d3b895-d275-402a-80a2-9f972b9ae493
;AVANTE;;d327aa35-6715-4841-a8df-e7288a767a03;ed18ea5b-07d1-4a98-8c22-210d53303863;626302eb-f080-4da6-babe-15587586a515
;PP;;a3173bb6-fb1e-4ed7-9182-d0f657ff29b7;08a1f4ad-a05f-4c99-a010-1736cfd781f3;83fbe85b-ce6a-43e1-974e-673ed69f9b2b
;PMDB;;8a31f6cd-fc1d-40c4-8fd4-5b03a5e548c6;735a2e8f-a697-420c-a7c0-aaab5d3212a3;83f9b165-b399-42b4-9125-bbb1f1f48dbb
;PSDB;;098797ec-2a48-41f8-898c-8b33452ea70c;41d00979-8f9e-48ef-8cdf-52ac2d4e14f1;b1db0f4b-988d-457d-8d94-e6e3cc81d1cc
;PSD;;69ccdfae-6832-45fe-a9b2-58b0d170fbc8;184aa941-f5ad-479f-9ea3-aa8124c4864a;a0a5f415-659d-4e8c-ac31-1da25da9fc74
;PSDB;;69ccdfae-6832-45fe-a9b2-58b0d170fbc8;e3ceab44-d622-4bc4-b049-25690cd61c92;421fd2c2-5393-47ca-8537-3539bb20b629
;DEM;;d8366b31-40f2-4558-bce3-4c24c8897c1b;7c50c788-62a4-45d7-a391-d97cfb0ba817;883a317a-d09a-42a7-ae98-588f9d6d4f21
