cam:dataFim;cam:dataInicio;cam:siglaUFRepresentacao;org:member;org:role;slp:resource_uri
;2015-02-01;MS;76097d2b-f224-4ccf-9005-c24f380cb13b;b27beba7-ca02-4041-a9e0-1793bcd141fe;ff1c2480-5f18-4aae-8c55-1a0073b73df3
;2015-02-01;SP;61884513-cd6d-445c-9a00-3ea457ecee26;b27beba7-ca02-4041-a9e0-1793bcd141fe;b96c0d29-7a3b-4d7e-a4ba-bf8202748bad
;2015-02-01;PE;975d7b68-4473-4651-a477-27517b8697bf;b27beba7-ca02-4041-a9e0-1793bcd141fe;b5d7d1bc-b9a5-425e-b2e7-795b67004a3b
;2015-02-01;PA;ad6dcb7b-7111-4e00-8ea9-2b932c07f863;b27beba7-ca02-4041-a9e0-1793bcd141fe;2923babe-8d46-4020-8b8c-4fde5425b1e6
;2015-02-01;MG;e9787dec-f1e0-4c2a-a554-ddb4cf785225;b27beba7-ca02-4041-a9e0-1793bcd141fe;0f96346e-e8da-4735-a748-e5800b3b2bbe
;2015-02-01;PA;89cd5a89-6ba4-42e4-b2c7-d514d5660239;b27beba7-ca02-4041-a9e0-1793bcd141fe;b12b5de2-2515-434a-9f4e-1078b32bebd2
;2015-02-01;PR;719ae20e-7c84-4767-8f1e-f6f0624cd5ea;b27beba7-ca02-4041-a9e0-1793bcd141fe;650fb93e-ade9-4892-937c-5548415ba7ae
;2015-02-01;PE;fe1660c8-1e36-4a4d-a8cc-33b7b0922eb1;b27beba7-ca02-4041-a9e0-1793bcd141fe;e6fb708a-cab4-4afd-b332-8540b35f947d
;2015-02-01;RN;ab9bb9f5-a5b7-4a7d-ad97-9ff6d82277e3;b27beba7-ca02-4041-a9e0-1793bcd141fe;ab8dfc6c-61f1-4919-b7ac-f5a3b1318016
;2015-02-01;PB;da0772a1-8e59-4d0e-ac25-846285ee4ff0;b27beba7-ca02-4041-a9e0-1793bcd141fe;f882b618-7529-49a6-abfc-1ac0ebf50c7d
2015-09-08;2015-02-01;MA;9baea0e6-e9df-4fb6-a04b-3ece7f0040b9;b27beba7-ca02-4041-a9e0-1793bcd141fe;7b987994-b412-4476-a7f5-47dbc4433c3e
2017-01-01;2015-02-01;RJ;514108aa-be67-4968-aab0-c6ebcc3db613;b27beba7-ca02-4041-a9e0-1793bcd141fe;611b798c-879b-4c1f-804e-5aa6c200a69d
;2015-02-01;PB;2b57a97d-5db3-405c-bedd-433aa3fb1c5b;b27beba7-ca02-4041-a9e0-1793bcd141fe;107635e0-f958-488c-915a-764f02732eaf
