cam:finishDate;cam:siglaUFRepresentacao;cam:startDate;org:member;org:role;slp:resource_uri
;MG;2015-02-01;a1aca44b-e25f-4ffa-ba8c-a2280445731d;f9d5d2ba-3cae-413b-adb8-80b4ecd3b77c;74a24a4d-1820-43eb-b50f-5f739b0ae50e
;RJ;2015-02-01;8f7f8f69-5235-4e9d-a884-ce61d75fd613;1762af22-04ba-47e6-9b66-64cdd8e0ac40;88c86121-ac87-47d6-b4df-aef21f55adce
2018-02-19;SP;2015-02-01;0685388c-49fd-42f8-a945-080138e67328;469cd16c-25cb-4390-ac16-b0b864ab0a56;e6e6f6fb-68ec-40e7-8cdd-a52ed5c035dd
;SP;2015-02-01;f82dcb07-a11b-4620-a5ec-9d7784a861ed;7e30e93e-5345-49b2-9025-b86e4bc018e1;17e839cd-5604-4f9a-ba17-6c5fd885bb7a
;RS;2015-02-01;81f5e736-f84f-44c6-8f63-f64947aadcc4;a874cbdc-acb9-4095-a4dd-464292cec438;db955b9f-8443-41e6-9403-a864cc940513
;GO;2015-02-01;413a3ac3-bcd0-4bb9-9b49-b03ce2014e06;60f2d815-ce7a-4e3c-a0b7-1da295fd7725;c72ef8cc-015e-4ee9-ace4-f36f00bc049a
;RJ;2015-02-01;dc487c48-3d09-4709-a107-2b1fabe26f6a;8dbda5ee-14d8-44c5-91f7-ae314c159ea6;fb7b4218-6513-4957-a234-ba272d376fc5
;BA;2015-02-01;6352fe51-c310-409c-82f4-088130e6973d;3956a0b0-97aa-48b7-bed2-26066243bcb3;83c95cf6-1eb1-46c2-9683-40186abed19a
2016-04-06;SP;2015-02-01;2b913d98-5ab3-4605-937d-ec26e40f09c7;e52f2ccb-2159-4a2d-b6a9-e8d2d7458835;78d031b8-0c3a-4aad-a81e-a1bec51d2aa5
2016-05-12;RS;2015-02-01;c1a77e59-28c2-4b3b-9851-d6ea8f98a8e4;3935de4c-0dcf-4795-a77e-53eefa3825ef;83c40af2-5ee1-4a99-a8da-9d9202a1cbce
;MS;2015-02-01;c5c7c191-13e4-435c-92f9-4387209d3f1d;163a15f0-4240-47a3-8dcb-c861d41a16df;61c60c27-ec08-4d3f-8aac-b4e2a9a0d86f
;MS;2015-02-01;751854d4-1a34-467e-a257-1733509ca504;cf49e54a-9520-481c-8327-11d65017a480;d6ca2feb-aa87-4bca-b107-4ed51bc9242b
;MA;2015-02-01;cbb14715-0305-430d-bc1c-dbf011a2b347;9378370f-f305-41f7-9cbd-92d899b368b7;d3163ccf-c040-43a9-a487-e100a3c52d48
;BA;2015-02-01;df2a33e0-8cd7-4952-8b5d-d3d4f8f7aa3a;0fd58418-5eba-44ec-accf-a9d26058f9ea;20e87bea-8efc-4b7b-a040-01324d630932
;MT;2015-02-01;06542a65-3e37-489a-b14d-8f29edd32f86;a7b80bfe-3142-411e-8987-975fa7c80605;cea81291-0554-48c7-a696-1ae6b38ea76b
;MA;2015-02-01;7b9fcb0c-b186-4b43-b289-476c3a2960dd;e7e28f98-577f-4745-8681-29dac1da3ffd;90363bf8-3523-45a0-9558-1879f2e2a5be
;SC;2015-02-01;c3d3625e-ea63-4afa-8519-86cff2399cdf;d307de1b-a0aa-43d7-9322-c2dab1d59c30;a765660d-d46c-4152-80b9-c25b7d31fc3c
;RN;2015-02-01;8fa4ec72-82c0-4868-a76a-ed04e6e57caf;45e34d50-92ed-4403-8af0-d538c5bfe0fa;519fd802-8e88-41c7-acda-20c407f274f0
;MS;2015-02-01;76097d2b-f224-4ccf-9005-c24f380cb13b;a71aa7af-e79d-48eb-9a82-fd2c5116c72e;ff1c2480-5f18-4aae-8c55-1a0073b73df3
;SP;2015-02-01;61884513-cd6d-445c-9a00-3ea457ecee26;7e37d3a0-9119-4347-b877-429093b8cc3e;b96c0d29-7a3b-4d7e-a4ba-bf8202748bad
;PE;2015-02-01;975d7b68-4473-4651-a477-27517b8697bf;80b9b394-4f5f-44bf-8121-04a5e987179a;b5d7d1bc-b9a5-425e-b2e7-795b67004a3b
;PA;2015-02-01;ad6dcb7b-7111-4e00-8ea9-2b932c07f863;865f0e1f-b80c-4dc3-a5d5-aa10ee79d8a5;2923babe-8d46-4020-8b8c-4fde5425b1e6
;MG;2015-02-01;e9787dec-f1e0-4c2a-a554-ddb4cf785225;6283b959-d06d-49a0-b4fc-272ca84e3a02;0f96346e-e8da-4735-a748-e5800b3b2bbe
;PA;2015-02-01;89cd5a89-6ba4-42e4-b2c7-d514d5660239;9ab027e0-db91-4d03-9c1a-3a32120282c4;b12b5de2-2515-434a-9f4e-1078b32bebd2
;PR;2015-02-01;719ae20e-7c84-4767-8f1e-f6f0624cd5ea;f546b469-8c3a-48a6-9dc0-dffb3e6fc253;650fb93e-ade9-4892-937c-5548415ba7ae
