org:member;org:role;sen:DataDesfiliacao;sen:DataFiliacao;sen:SiglaPartido;slp:resource_uri
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2017-01-26;2015-02-01;PDT;ba1dfe30-4014-4e43-ac36-f100a06f65fa
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2015-02-01;PMDB;c232a79d-910e-4095-b7f2-b5bf02ccfb97
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2011-02-03;PMDB;bc2debae-e5a6-4588-8c35-f4816f75fa34
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2011-02-03;PMDB;d70f1c2c-62d4-4fa2-b53c-af430e2c6ddb
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2011-11-01;PSD;31fbb322-6158-47ee-beb6-5ace733a06f6
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2011-10-31;2007-02-01;PMN;479ceb6d-3bad-443f-964b-8837a9fb4284
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2011-02-03;PR;7760417b-9e51-4ab0-aaff-ee1dac992803
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2017-07-04;PODE;1ce68d0c-04e5-442d-a22c-7056a4a93d11
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2017-07-03;2013-10-02;PSB;808d682a-2d06-4768-9fba-b8d4245acbe5
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2013-08-19;2011-02-01;PSB;451251d3-1858-4cd3-8ba0-b8c722a39f1a
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2007-04-24;DEM;c23c11d2-5e86-4add-ab39-cb8a38b681bf
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2007-04-23;1999-02-01;PFL;019d0628-151b-4a9b-9209-068d05a969f0
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2018-04-07;PODE;2b16abe0-e143-4685-a708-82420f9bbb31
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2018-04-06;2003-10-14;PMDB;2f0bc2c2-6c1d-40ee-9db2-4db1a8eaa92d
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2003-10-13;2001-03-08;PSDB;f7e92290-b886-4619-9e09-3777cf351b3e
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2007-02-01;PSB;3c1fa759-fdf7-4cdc-b9fb-ecc8ea87d187
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2017-10-04;PSDB;d946786f-e89f-4b70-9d80-5d1dcb2a190c
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2017-09-28;2015-02-01;PSB;bc6c9696-9279-4326-9f22-32f50efbd229
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2011-01-31;1999-02-01;PSDB;753a8862-b4dc-4486-b222-534c806756da
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;1995-02-01;PMDB;bc66a48c-0696-40ab-b6f8-4a090c21553f
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2003-05-14;PMDB;e0ae0b6b-6df7-4750-8055-47b4ce7c3cca
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2003-05-13;1999-01-28;PSDB;9d9c482d-ddcf-455d-837e-8bfb64962bb2
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;1999-01-27;1995-02-16;PFL;63c50645-0455-4682-a5de-d9eb35a71ae6
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;1995-02-15;1995-02-01;PPR;2f994c49-9450-4209-8da9-971bb32e2b67
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2016-03-01;PSDB;ecef63fb-69fc-48f8-a6a5-fedde5f6cb56
