org:member;org:role;sen:DataDesfiliacao;sen:DataFiliacao;sen:SiglaPartido;slp:resource_uri
85e8b745-786b-4782-a8a1-e3b3164a3f22;e758f033-b0bb-4fcc-97f7-d5267f26db0c;;2011-02-03;PSB;24dc7828-f3ea-4768-a4c1-5aced6b15b18
85e8b745-786b-4782-a8a1-e3b3164a3f22;70c594be-6e11-4b8c-b38e-6a3944a078ea;2011-02-02;1999-02-01;PT;fce24360-0eb7-4d01-8af7-6bfe0b12a39e
85e8b745-786b-4782-a8a1-e3b3164a3f22;f5930d2e-f65a-4273-bb18-ef6814e0d6ca;;2003-02-01;PSDB;f7b43013-e0e2-4c6a-b17c-f85a9ac2c31b
85e8b745-786b-4782-a8a1-e3b3164a3f22;c190a6be-aed3-4cdc-a261-2382e8d727cc;;2017-02-01;PTB;a672aec2-137d-44ef-96b2-06b04d216b04
85e8b745-786b-4782-a8a1-e3b3164a3f22;2b5dcde4-da56-41d8-9e00-b5cdb573c5ef;2017-01-26;2015-02-01;PDT;5d477185-19a7-4075-83f3-8d8701dc15db
85e8b745-786b-4782-a8a1-e3b3164a3f22;db277f86-6fcc-4905-ae32-9d1eefca09e0;;2017-01-31;PTB;63d1c32d-b42a-47c9-8eb1-e1a07a1b0c14
85e8b745-786b-4782-a8a1-e3b3164a3f22;52ad8b02-a74a-47b2-8d2c-a3ef91e67032;2017-01-26;2015-02-01;PDT;1008496a-4777-49a0-82f0-293f08c584df
85e8b745-786b-4782-a8a1-e3b3164a3f22;92eb79d8-9fd2-4c25-909e-a6b31f4b5341;;2015-02-01;PT;d7c5f934-78dc-4ee5-8e00-253b0ecf1f41
85e8b745-786b-4782-a8a1-e3b3164a3f22;1870a8ae-8139-4560-b35a-ada221759c87;;2011-11-01;PSD;c6b91d7f-e312-4ad8-ab35-6788516e6bbc
85e8b745-786b-4782-a8a1-e3b3164a3f22;409e3af3-75dc-41ce-adba-ee8a5780b9e5;2011-10-31;2007-02-01;PMN;8f24a5b1-8b49-4892-b5d6-ab60556628f9
85e8b745-786b-4782-a8a1-e3b3164a3f22;f6f1d277-7919-4bd5-bd67-505dff465f27;;1999-02-01;PSB;a55badd6-10c4-4967-82c9-64fe6594866f
85e8b745-786b-4782-a8a1-e3b3164a3f22;961dadbd-957a-4fc9-aa4c-e04a2a8886f0;;2011-02-03;PDT;dbdb010e-c59f-4807-a515-9f433b5f203b
85e8b745-786b-4782-a8a1-e3b3164a3f22;7e718973-6dba-416c-af44-91959f7e7480;;2015-02-01;PMDB;9007ca15-4384-4d7c-b6be-533a3634ba48
85e8b745-786b-4782-a8a1-e3b3164a3f22;816e4d12-5fdd-4456-9c31-ed894dc6c60e;;2015-02-01;PTB;d8cb5f71-a462-4c2f-b88b-bdd8d5c80bc6
85e8b745-786b-4782-a8a1-e3b3164a3f22;13bda1bc-8e19-4ad7-9a6d-08add954f9a5;;2015-02-01;PSB;5907a127-7060-4ddc-bd3f-15997f8e5c27
85e8b745-786b-4782-a8a1-e3b3164a3f22;a755560a-207b-4e32-b141-355d468fd376;;2015-02-01;PSDB;bc452a79-e5e2-491e-90af-ad6c70f87289
85e8b745-786b-4782-a8a1-e3b3164a3f22;1a0f889d-23ea-46cc-aa73-9442fd790f9a;;2011-02-03;PMDB;96b6990f-1254-4921-9a2a-20bc99aa4845
85e8b745-786b-4782-a8a1-e3b3164a3f22;ec729e5e-40cb-4d16-949e-6cb752c892f1;;2011-02-03;PRB;b1403c5c-4597-4254-a2ce-4901bf436836
85e8b745-786b-4782-a8a1-e3b3164a3f22;2eec6344-a898-4b4a-8d12-ce15dfc3afd4;;2011-02-03;PMDB;1ba45a6a-e12c-4a21-ad04-0408351fd790
85e8b745-786b-4782-a8a1-e3b3164a3f22;fa8430c5-da24-46c4-8c0a-e4712c89fae9;;2011-02-03;PMDB;df2d7929-85f5-4131-9d7a-010c9a1657a4
85e8b745-786b-4782-a8a1-e3b3164a3f22;f7b53472-3af5-4abe-8e71-fb2df861b352;;2011-02-03;PMDB;5504bef6-f8f9-43dc-94a5-42ca3b3bd357
