cam:ideCadastro;cam:nomeCivil;cam:nomeParlamentarAtual;slp:resource_uri
194258;CLEUZA PEREIRA DO NASCIMENTO;CREUZA PEREIRA;d93ad34777bc3949e0844693ba615815
160566;NELSON PADOVANI;NELSON PADOVANI;5244b3585598ecab86e0e942680aa83c
160566;NELSON PADOVANI;NELSON PADOVANI;5244b3585598ecab86e0e942680aa83c
167614;SEVERINO DE SOUZA SILVA;SEVERINO NINHO;16e23b27dad8ce51a60b71dea5e5ff69
167614;SEVERINO DE SOUZA SILVA;SEVERINO NINHO;16e23b27dad8ce51a60b71dea5e5ff69
74856;MARIA LAURA MONTEZA DE SOUZA CARNEIRO;LAURA CARNEIRO;4a5d909831712832db0471108e377a22
74856;MARIA LAURA MONTEZA DE SOUZA CARNEIRO;LAURA CARNEIRO;4a5d909831712832db0471108e377a22
191945;JOSÉ AUGUSTO NALIN;ZÉ AUGUSTO NALIN;486c656a6fe9b8b111d02e598e6e890a
194260;NIVALDO FERREIRA DE ALBUQUERQUE NETO;NIVALDO ALBUQUERQUE;e53d0b6906ef9118b41a9b6a0ac420f4
193982;LUCIANO FRED BRAGA PENHA;PASTOR LUCIANO BRAGA;fc367fb868f1f7bfee5758e8ea1e5f93
189593;WADIH NEMER DAMOUS FILHO;WADIH DAMOUS;f0ba24491d0136cf7483fc6707caa502
73786;REINHOLD STEPHANES;REINHOLD STEPHANES;a6cc6e480bd8dfe43088fca8feb7a50c
73786;REINHOLD STEPHANES;REINHOLD STEPHANES;a6cc6e480bd8dfe43088fca8feb7a50c
73786;REINHOLD STEPHANES;REINHOLD STEPHANES;a6cc6e480bd8dfe43088fca8feb7a50c
73786;REINHOLD STEPHANES;REINHOLD STEPHANES;a6cc6e480bd8dfe43088fca8feb7a50c
186775;FRANKLIN ROBERTO DE LIMA SOUZA;FRANKLIN;d15dcb63f710c0fb391a840dc4a0c1a5
151965;JOSÉ DE ANDRADE MAIA FILHO;JOSÉ MAIA FILHO;4c3a0f00a7fbf84332ea44a2da52dd8e
151965;JOSÉ DE ANDRADE MAIA FILHO;JOSÉ MAIA FILHO;4c3a0f00a7fbf84332ea44a2da52dd8e
