slp:resource_uri;rdfs:label;rdfs:seeAlso;skos:prefLabel
c12eaf15-797a-4b82-9cf0-49d73286f338;Paulo Roberto Davim;Paulo Davim;5020
487a263b-ee4e-4b50-a1d1-98cf4afe321a;Paulo Frateschi;Paulo Frateschi;5152
1a9e6740-c471-4e84-bc28-0d8494a816ad;Paulo José Gouvêa;Paulo Gouvêa;824
55a4294a-75f7-4316-a373-d37c91d8dece;Paulo Henrique Campos Matos;Paulo Matos;5589
0baeb9d7-a5c2-442a-ae5c-18085d8534cc;Paulo Renato Paim;Paulo Paim;825
4bb24361-4769-4db2-be69-ff57f475d080;Paulo Pereira Fíuza Filho;Paulo Pereira Fíuza Filho;5114
6cea9d09-01b4-4c81-b31d-da59c7d05d93;Paulo Roberto Galvão da Rocha;Paulo Rocha;374
5feb77d5-5b05-46fc-9b9a-b5be9a907cba;Pedro Chaves dos Santos Filho;Pedro Chaves;5116
37315c09-3b64-4f6e-b2ad-2c118dd8957e;Pedro Irno Tonelli;Pedro Irno Tonelli;5050
0900bfe6-4810-4e47-be0d-397152b2cb1a;José Pedro Gonçalves Taques;Pedro Taques;5010
c8be6b4c-9cfe-47cb-9161-443829eaa6e9;José Eleonildo Soares;Pinto Itamaraty;4606
5fb7c310-2427-43d4-b586-53071bd06d71;Raimundo Lira;Raimundo Lira;2207
160bd2ea-1fec-4d96-ac7f-0b8c4a6b54ca;Randolph Frederich Rodrigues Alves;Randolfe Rodrigues;5012
8b363c50-991a-4509-91f2-2575da40478b;Reditario Cassol;Reditario Cassol;5072
99b342f0-2b78-4804-8852-3b77ee3a8941;Maria Regina Sousa;Regina Sousa;5182
d45c0377-d2c4-416e-b720-7586f288ccc9;José Antônio Machado Reguffe;Reguffe;5236
704ccd75-54f6-4982-a9e4-e200c5c7bb7d;José Renan Vasconcelos Calheiros;Renan Calheiros;70
96e47bfe-4c69-446b-81af-26f897b8e572;Ricardo de Rezende Ferraço;Ricardo Ferraço;635
4be7a2c0-9ef8-4610-883e-6fd4ec7b0fcf;Ricardo Barreto Franco;Ricardo Franco;5635
e3e613a0-e4d6-48f1-b539-0f12f56c57e3;Roberto de Oliveira Muniz;Roberto Muniz;5052
6f5242ea-12db-4c41-bff7-5299f2aa9a2f;Roberto Requião de Mello e Silva;Roberto Requião;72
d497c34c-e547-4869-b824-afaea1b2b5c3;Roberto Coelho Rocha;Roberto Rocha;677
fc5a01bb-ada2-4827-96cd-81dc0981081f;Roberto Wagner Monteiro;Roberto Wagner Monteiro;5098
aa4e7274-d07b-420c-b288-a6c1bd346415;Rodrigo Sobral Rollemberg;Rodrigo Rollemberg;4593
c32024fd-3dc6-476b-a0f9-a4e3db01b9f6;Romero Jucá Filho;Romero Jucá;73
4f58d17b-0d92-4c57-b545-88daba65e15a;Romario de Souza Faria;Romário;5322
553e9e88-fe88-4777-99ad-985244fa38c3;Ronaldo Ramos Caiado;Ronaldo Caiado;456
e95c0d8d-94c5-4aba-88fa-169bc082ea69;Roosevelt Vita;Roosevelt Vita;5601
cd164bfa-0848-4293-9af3-a9f7c396fdde;Rosilda de Freitas;Rose de Freitas;2331
4752defa-d607-4bfa-9b18-1c09f6ef8d38;Rudson Leite da Silva;Rudson Leite;5621
9580e603-00f2-46fd-a258-a180d36c7a15;Salomão Alcolumbre Júnior;Salomão Alcolumbre Júnior;4847
4371de53-e508-4694-b023-5ae9944dbe82;Sander Fraxe Salomao;Sander Fraxe Salomao;5074
4e4a13b6-5571-44c0-a61e-56e899f4d238;Sandra Backsmann Braga;Sandra Braga;5038
79b9166f-1aac-47c8-9c02-70af38e06148;Sanny Japiassú dos Santos;Sanny Japiassú dos Santos;5172
71baf308-e3c7-463e-8ba3-6a00ad706fd8;Schariff Moyses;Schariff Moyses;5583
937c2502-6bfe-47d8-b6df-8d93eabae29c;Sergio de Souza;Sergio Souza;5048
659e3e91-e5ce-4015-b11d-9e1d09c05417;Severino Nunes de Araujo;Severino Araujo;5611
4dd384da-f557-47ae-9817-0270886fa381;Severino Barboza Leão;Severino Leão;5563
39525ff5-f3b3-46f7-91ae-1ba7bf42e92a;Silvia Nascimento Cardoso dos Santos Cerqueira;Silvia Nascimento Cardoso dos Santos Cerqueira;5056
5eded581-fbed-4104-a323-b102adb40689;Simone Nassar Tebet;Simone Tebet;5527
4d1c78dc-d5f6-4364-9abf-46b1f6fc5931;Aluísio Sérgio Novais Eleutério;Sérgio Novais;624
5c56604c-6d40-4892-9820-5fe73c39bc86;Sérgio de Oliveira Cunha;Sérgio Petecão;4560
4d800d42-097a-4cf2-9f8a-a00bb0e60423;Sérgio Rogério de Castro;Sérgio de Castro;5106
0bda8ac7-ccf5-414e-929b-440d419cbf3d;Tasso Ribeiro Jereissati;Tasso Jereissati;3396
8d08d09a-803e-4b99-b901-61d6c3eb5e7a;Telmário Mota de Oliveira;Telmário Mota;5535
f0e20b87-df5f-4fb4-afae-7770c72b7b38;Theodorico Bezerra Netto;Theodorico Netto;5629
294203c4-296f-442e-af61-c4d5be845b17;Thieres Pinto de Mesquita Filho;Thieres Pinto;5619
ba9323ef-f93c-4222-a067-2c2f6bdf1ce1;Tilden José Santiago;Tilden Santiago;438
4b2d4680-29e7-4799-b3e5-ec7da9665a54;Tomás Guilherme Correia;Tomás Correia;4949
4cc6fd4d-56d1-45ae-af2f-ee5b4785ef41;Tânia Cristina Magalhães Bastos e Silva;Tânia Cristina Magalhães Bastos e Silva;5068
1fb58ed0-3476-4575-a03c-40498ad78b9f;Ubiraci Picanço;Ubiraci Picanço;5420
e2aa52a3-7282-4407-a392-96d31dd88c59;Valdir Ganzer;Valdir Ganzer;375
aa580328-ce9b-4f0f-a261-9a2a22eec77c;Valdir Raupp de Matos;Valdir Raupp;3372
f5562161-6541-4a77-b619-c1f64f7ee3f1;Valério Djalma Cavalcanti Marinho;Valério Djalma Cavalcanti Marinho;5130
30905060-49e1-4af5-bbbf-e3b91c4b22e6;Vanessa Grazziotin;Vanessa Grazziotin;558
4e75cf93-2dd6-40af-8aec-acb29b4d61de;Veridiana Maria Tonini;Veridiana Maria Tonini;5084
ba6c7f82-f5f5-4d0d-a897-695d36853e87;Vicente Alves de Oliveira;Vicentinho Alves;4763
2feb6e41-3a6e-4e4c-a6d0-0a1df21058f0;Virginio José de Carvalho Neto;Virginio de Carvalho;4786
b8daac6a-c70c-48b0-816e-f73fe38c6a03;Vital do Rêgo Filho;Vital do Rêgo;4645
0b01d8b2-d333-485a-a952-f64498821d46;Vivaldo Vieira Barbosa;Vivaldo Barbosa;791
773b8a1d-d3eb-4d14-a955-1dc65a223adc;Waldemir Catanho de Sena Júnior;Waldemir Catanho de Sena Júnior;5082
a3d0a02d-ce34-45c3-a273-561bb446048a;Waldemir Moka Miranda de Britto;Waldemir Moka;1176
9caed2a2-635d-4752-8d3d-db487a2279e6;Walter de Freitas Pinheiro;Walter Pinheiro;604
103aa65b-7fcf-445d-8d44-de9025e17e03;José Wellington Barroso de Araujo Dias;Wellington Dias;5016
85c306bd-a67a-45e1-98a2-9271c30ede43;Wellington Antonio Fagundes;Wellington Fagundes;1173
41fd7c6c-e250-4c81-860a-2116526c8754;Wilder Pedro de Morais;Wilder Morais;5070
c568b459-7c73-4b53-baee-3baae0a79db8;Wilmar Lacerda;Wilmar Lacerda;5096
46d469e2-f0d5-4f44-b4a6-fa8e59dc3200;José Wilson Santiago;Wilson Santiago;3811
a506f121-4dff-475f-ba6f-69210454927d;Wirlande Santos da Luz;Wirlande da Luz;3597
7d6bc32a-751c-4e13-b3cd-2942e14ae018;José Perrella de Oliveira Costa;Zeze Perrella;5144
9b3aa5c1-4e3a-4026-aa35-cdd29e438fa2;Zonir Freitas Tetila;Zonir Freitas Tetila;5118
