org:hasMember;org:role;slp:resource_uri;time:finishDate;time:startDate
dac5dff3-c697-425a-9262-802606c14027;b27beba7-ca02-4041-a9e0-1793bcd141fe;f544d0aa-f83f-4d3e-84b2-1b23d1643248;2016-04-15;2015-02-03
dac5dff3-c697-425a-9262-802606c14027;b27beba7-ca02-4041-a9e0-1793bcd141fe;6a0f7bae-5575-43bb-a2a8-78f400cd9273;;2016-04-19
f3ffbac3-2064-40ac-b78b-4d126738a7f4;b27beba7-ca02-4041-a9e0-1793bcd141fe;c2113089-30a5-4d29-b651-1ad206eee0c4;;2015-02-01
0b0d7282-d9d7-4bcb-8bb1-01ca3567dd8b;b27beba7-ca02-4041-a9e0-1793bcd141fe;9306d014-9140-40d9-8f69-fb8d283c23e0;;2015-02-01
2d6815c8-98fa-4ea8-aa4e-634add2f1df1;b27beba7-ca02-4041-a9e0-1793bcd141fe;0eaad938-11b2-4751-8627-3824870bb0f4;;2015-02-01
9e6115d2-29ed-4c56-ba01-1d75f2d40c81;b27beba7-ca02-4041-a9e0-1793bcd141fe;02e8bb1e-d0c2-4906-8439-a803f29005e3;;2015-02-01
d18001fa-2988-4967-b1c4-463dcc0c00d0;b27beba7-ca02-4041-a9e0-1793bcd141fe;669df393-08a0-434a-9202-1b76ec8afd48;;2015-02-01
f9704675-cd85-468b-8af8-fe4f6773ae66;b27beba7-ca02-4041-a9e0-1793bcd141fe;8d6f1d81-b268-4f7d-908f-6fdc654c03a7;2017-11-22;2015-02-01
5981d3c9-2e3a-4e55-bcdf-3353a0e62869;b27beba7-ca02-4041-a9e0-1793bcd141fe;20c377f3-2256-4acc-bd78-c117649ab3da;;2015-02-01
559f4705-37c2-4005-886e-46ddcfccab79;b27beba7-ca02-4041-a9e0-1793bcd141fe;4f490679-d7e0-4f70-9f48-456f97094754;;2015-02-01
102b144e-66dd-452a-9ea5-16827f5ca17a;b27beba7-ca02-4041-a9e0-1793bcd141fe;27ed9a11-45cb-47e0-8181-a71cd5ea856f;;2015-02-01
c470e943-7ddd-4936-b64c-e13cef28805f;b27beba7-ca02-4041-a9e0-1793bcd141fe;e954525f-4a62-44c6-85e6-d23d0ce6302e;2016-06-20;2015-02-01
c470e943-7ddd-4936-b64c-e13cef28805f;b27beba7-ca02-4041-a9e0-1793bcd141fe;0752924d-7b9b-47b4-a429-e4e586771561;;2016-10-19
ff110f76-b434-416b-a1f2-a5a738891e0e;b27beba7-ca02-4041-a9e0-1793bcd141fe;c4269882-0cf4-4d09-9523-b172a20a5889;;2015-02-01
136fe22e-5a0a-4400-b077-8db301bb30a8;b27beba7-ca02-4041-a9e0-1793bcd141fe;1913ca82-0874-48fe-9817-bed9de7be1bd;2015-10-05;2015-02-01
136fe22e-5a0a-4400-b077-8db301bb30a8;b27beba7-ca02-4041-a9e0-1793bcd141fe;86f8a81f-34c8-4d76-9c22-6ab5e80aacd7;;2016-05-12
84deb46c-20ff-4ac0-a71a-98fae4795894;b27beba7-ca02-4041-a9e0-1793bcd141fe;e787cf66-6b64-4459-80ce-62bd9a176bfe;;2015-02-01
fdae2f17-2ce2-435e-87c6-66332a32121e;b27beba7-ca02-4041-a9e0-1793bcd141fe;0392974b-7617-400c-81bb-2df4ab4365f8;;2015-02-01
9fa4de0b-4ccb-46d1-9c79-cb4310f81986;b27beba7-ca02-4041-a9e0-1793bcd141fe;c174fe5b-f8e9-4306-82e4-5d955358e889;;2015-02-01
8f83bee0-e84d-440b-bef0-003435f37f83;b27beba7-ca02-4041-a9e0-1793bcd141fe;7d028088-62ad-4493-948e-88b7bb2cae66;;2015-02-01
33a509ff-c2b6-464d-a722-adf55c53dc64;b27beba7-ca02-4041-a9e0-1793bcd141fe;a11f9289-44e6-4308-a56c-0f4b4f4fb722;2016-11-30;2016-08-02
33a509ff-c2b6-464d-a722-adf55c53dc64;b27beba7-ca02-4041-a9e0-1793bcd141fe;417fc7bb-7fc7-46d8-aec5-6eb6eedbe6ec;;2017-01-01
d12cce68-778c-4c75-ab51-34e464bec3ea;b27beba7-ca02-4041-a9e0-1793bcd141fe;22686287-7c57-46de-a207-e91fcbc64270;;2015-02-01
7e35793e-8770-4cc8-80a5-62125345e632;b27beba7-ca02-4041-a9e0-1793bcd141fe;11ccb402-46c2-49f9-80a3-e64670a9450c;;2015-02-01
49b8366d-fb3d-40ef-906c-185f9c502f92;b27beba7-ca02-4041-a9e0-1793bcd141fe;8dde3267-5c43-4f4c-b3ff-cea2eeaf8e10;2016-04-28;2015-02-01
49b8366d-fb3d-40ef-906c-185f9c502f92;b27beba7-ca02-4041-a9e0-1793bcd141fe;e9e47979-0c43-4faf-b4ee-4143f67eaac9;;2016-09-15
12574740-8663-4660-99c8-a99fd7640349;b27beba7-ca02-4041-a9e0-1793bcd141fe;76edcbc3-2959-4f2a-8eaa-a1fde087269a;2015-08-06;2015-02-01
098bf96a-4abf-4ef9-a5ff-69d4c075756e;b27beba7-ca02-4041-a9e0-1793bcd141fe;54516283-ffcb-49d4-a3af-228be6f21e71;;2015-02-01
