slp:resource_uri;NumeroLegislatura;cam:finishDate;cam:sigla;cam:siglaUFRepresentacao;cam:startDate;org:member;org:role;sen:CodigoMandato;sen:DataDesfiliacao;sen:DataFiliacao;sen:SiglaPartido;sen:UfParlamentar;sen:finishDate;sen:startDate
70d81bad-7e71-4d5d-8f13-1a2387fea68e;;;;AP;2015-02-01;9a5e3486-1552-476d-a619-fa898782adc3;e7db71c7-d765-4893-b845-4072f670533b;;;;;;;
9cc410f4-eac5-417f-ad5a-1f15e5941280;;;;BA;2015-02-01;890ee311-1045-41ee-af3c-d267db92e573;30ea5b5d-6b8f-4ea4-8caa-d879f9c55ded;;;;;;;
a6bf1258-4982-4278-8b74-c72031b4a206;;;;RS;2015-02-01;e2f3d761-a44a-4bae-bdcb-ddc5b865c410;92d8b470-1ed1-4b1a-bca2-9a32c5e98a12;;;;;;;
2f469e51-29b8-46de-b291-5c773abe2e05;;;;SP;2015-02-01;81be1c11-327d-4965-baff-2ec0316df925;db9486aa-cdff-4ba5-8022-56caf500a90d;;;;;;;
3248285a-a101-4099-92b2-61fec5a84ffc;;;;MG;2015-02-01;f3872356-c9a4-43e7-a342-1281395d1f04;4fe4c295-c98a-43a4-9255-e88b4d8433d6;;;;;;;
4c092c1f-35cb-4be7-8bd3-4dcfdc26afc9;;;;GO;2015-02-01;118687ac-a58d-4f53-bc3e-aea766ff9049;d2d7e748-507c-4b89-a59c-84af7cd39f06;;;;;;;
46366ac8-3421-472e-adac-249e5bc3c655;;;;RO;2015-02-01;52b945a0-5db5-44a4-b13c-61b64dd99165;f39df917-cc49-4916-9fa4-99e3a48908f4;;;;;;;
f44be2cd-7377-411f-b94c-8a74b62617b8;;;;SP;2015-02-01;3458f5a3-cf98-42f4-b46a-64bae2b3e39c;ff9f1c10-596b-4425-9549-7eaaa452809e;;;;;;;
6334cbc9-303c-43dc-b777-17ee4fc6fecb;;;;MG;2015-02-01;96277a2a-f12c-49ee-a52a-2119d7f1fa4f;5c73e50a-e00b-4f97-b5c0-f8dd0c2d2ff6;;;;;;;
49953702-9553-4dd7-b5df-a32a01c4bc82;;;;SP;2015-02-01;32b7704b-7ccb-42a4-9864-0d10fad81f98;e3e582b4-8dfe-4b8d-9476-04ad383af74b;;;;;;;
9702bd69-97bd-4a62-8c15-2889a0de3ce3;;2017-04-11;;MG;2015-02-01;f1c42f04-a2fd-4602-a9fb-3bf2ec66dd05;0f5467d3-1cdd-4b86-8480-0b2d7ac8a34e;;;;;;;
74a24a4d-1820-43eb-b50f-5f739b0ae50e;;;;MG;2015-02-01;a1aca44b-e25f-4ffa-ba8c-a2280445731d;08480b50-6ccb-440c-8445-12eb67f4ecc3;;;;;;;
88c86121-ac87-47d6-b4df-aef21f55adce;;;;RJ;2015-02-01;8f7f8f69-5235-4e9d-a884-ce61d75fd613;977e18e2-73eb-4154-9f98-7a0228154896;;;;;;;
e6e6f6fb-68ec-40e7-8cdd-a52ed5c035dd;;2018-02-19;;SP;2015-02-01;0685388c-49fd-42f8-a945-080138e67328;042c00ac-6687-450d-a438-ec41841e99a7;;;;;;;
17e839cd-5604-4f9a-ba17-6c5fd885bb7a;;;;SP;2015-02-01;f82dcb07-a11b-4620-a5ec-9d7784a861ed;a9f035d4-0a16-4d84-b009-743bde937a4f;;;;;;;
db955b9f-8443-41e6-9403-a864cc940513;;;;RS;2015-02-01;81f5e736-f84f-44c6-8f63-f64947aadcc4;a5f81e95-8ab4-4b16-a2c2-3f3d9fead34e;;;;;;;
