cam:finishDate;cam:sigla;cam:startDate;org:member;org:role;slnp:resource_uri
;SD;;2ea5d284-fb53-4cc1-8891-aa7843c77504;6a688541-b16a-45ca-8aa9-fa700373279f;3362322d-c3a9-4e62-b414-6a1b3bd8152b
;PSL;;2ea5d284-fb53-4cc1-8891-aa7843c77504;6a688541-b16a-45ca-8aa9-fa700373279f;53ab3eff-a7a8-4ba8-a597-3d77b143268d
;PMDB;;6b2cea53-544d-4dbc-84e2-413132f121e6;6a688541-b16a-45ca-8aa9-fa700373279f;c36e0e40-096b-477f-beaa-a6c6f475371b
;PMB;;6b2cea53-544d-4dbc-84e2-413132f121e6;6a688541-b16a-45ca-8aa9-fa700373279f;eb20aa14-347e-4fb5-8087-3a969093b634
;PTN;;6b2cea53-544d-4dbc-84e2-413132f121e6;6a688541-b16a-45ca-8aa9-fa700373279f;e0eefec3-f331-40e9-9e66-5dbeafe5812a
;PODE;;6b2cea53-544d-4dbc-84e2-413132f121e6;6a688541-b16a-45ca-8aa9-fa700373279f;07def722-13f0-4eec-a68f-d380f8e9e6ab
;PMDB;;08f29f51-d0dc-46ac-b318-378e0f7be3d8;6a688541-b16a-45ca-8aa9-fa700373279f;9167229a-2327-4a76-bc79-007834b7a232
;PSB;;08f29f51-d0dc-46ac-b318-378e0f7be3d8;6a688541-b16a-45ca-8aa9-fa700373279f;8adc1ffe-95b6-4f7a-afd0-427dc2e38670
;S.PART.;;08f29f51-d0dc-46ac-b318-378e0f7be3d8;6a688541-b16a-45ca-8aa9-fa700373279f;c6a7cb9f-7fa6-47b5-bb3a-1cfb1d18e281
;DEM;;08f29f51-d0dc-46ac-b318-378e0f7be3d8;6a688541-b16a-45ca-8aa9-fa700373279f;e9dbe5db-2363-47d5-8bc9-354dc731a1e7
;PSB;;1cc9126a-dd9b-4be8-8e09-0b4c46743473;6a688541-b16a-45ca-8aa9-fa700373279f;3f11801e-5d44-4637-afe9-d8f2c3b20d9c
;PMDB;;0bcb1eba-2805-43e2-8565-959c8b31c187;6a688541-b16a-45ca-8aa9-fa700373279f;fe8db2ae-9798-489d-8628-ba46a75cbcb8
;PSC;;95fce76e-e824-4977-8386-bffc05763371;6a688541-b16a-45ca-8aa9-fa700373279f;21b11690-41a8-405f-9090-fbb798107ea9
;PSL;;95fce76e-e824-4977-8386-bffc05763371;6a688541-b16a-45ca-8aa9-fa700373279f;7a47413e-66d1-4ee4-857a-b2d9f9ed8c94
;PRTB;;12742186-5bc8-4bd9-932c-fe247f8c6f3c;6a688541-b16a-45ca-8aa9-fa700373279f;ac139342-65a7-4493-8f43-dba5c6dde07d
;PSD;;12742186-5bc8-4bd9-932c-fe247f8c6f3c;6a688541-b16a-45ca-8aa9-fa700373279f;4cbbe8e6-c835-4d18-9d54-415e210fdbcc
;PMDB;;12742186-5bc8-4bd9-932c-fe247f8c6f3c;6a688541-b16a-45ca-8aa9-fa700373279f;1cf8e031-7f4e-4413-b2aa-1014222cc513
;PODE;;12742186-5bc8-4bd9-932c-fe247f8c6f3c;6a688541-b16a-45ca-8aa9-fa700373279f;0a5e31cb-8102-4f16-acc7-22f5e10b5d10
;PHS;;12742186-5bc8-4bd9-932c-fe247f8c6f3c;6a688541-b16a-45ca-8aa9-fa700373279f;e10c8d39-4c53-4c79-9dca-ac37417c2abc
