finishDate;org:member;org:role;resource_uri;role;startDate
2013-09-30;1d5649e5-f68f-40c0-b7f7-f86975a36d92;6a688541-b16a-45ca-8aa9-fa700373279f;ba485c2c-17bb-40c6-bb77-4f2a17800d6f;6a688541-b16a-45ca-8aa9-fa700373279f;2011-01-27
2011-01-25;1d5649e5-f68f-40c0-b7f7-f86975a36d92;6a688541-b16a-45ca-8aa9-fa700373279f;d517be60-ca39-45fe-88b5-a90ae89e8fea;6a688541-b16a-45ca-8aa9-fa700373279f;2007-02-01
;bb9287ce-6978-47ac-8891-d1f0261523bc;6a688541-b16a-45ca-8aa9-fa700373279f;63a7781a-e7d2-4be2-9821-213cc502f14b;6a688541-b16a-45ca-8aa9-fa700373279f;1999-02-01
;40d14615-e15e-43e4-97cd-a79a4248826e;6a688541-b16a-45ca-8aa9-fa700373279f;9a89b353-c792-4528-95eb-1fcd1aa44672;6a688541-b16a-45ca-8aa9-fa700373279f;2011-02-03
;0e0dadca-92b8-4152-83dc-8ab070da0c0e;6a688541-b16a-45ca-8aa9-fa700373279f;4402baa0-9da2-4358-ad49-a894ce2f02a6;6a688541-b16a-45ca-8aa9-fa700373279f;2011-02-03
;5d12c296-e621-46d1-86af-53c1af438965;6a688541-b16a-45ca-8aa9-fa700373279f;4572cc08-5104-4920-a5cf-cd5541b5f099;6a688541-b16a-45ca-8aa9-fa700373279f;1999-02-01
;69a391c0-c114-4835-8d64-eb6acf28c59e;6a688541-b16a-45ca-8aa9-fa700373279f;bacabf81-3109-45c7-b6fd-e769bd07e9ea;6a688541-b16a-45ca-8aa9-fa700373279f;2011-02-03
;8e8c23b8-316d-4b42-b1f6-ea62b2c73ce0;6a688541-b16a-45ca-8aa9-fa700373279f;9b55ab34-6482-4d37-9777-b8037aa191f2;6a688541-b16a-45ca-8aa9-fa700373279f;2011-02-03
2011-02-02;8e8c23b8-316d-4b42-b1f6-ea62b2c73ce0;6a688541-b16a-45ca-8aa9-fa700373279f;074c3bb4-c854-4b16-a1a8-7ccbb9364fc4;6a688541-b16a-45ca-8aa9-fa700373279f;1999-02-01
;9dac7a9c-1da3-4986-a712-81addce44c43;6a688541-b16a-45ca-8aa9-fa700373279f;245edff6-2a6c-4778-a524-a43ea3ed78ac;6a688541-b16a-45ca-8aa9-fa700373279f;2011-02-03
;8f5f9a1f-713f-40bd-8c3a-b3b86c12c347;6a688541-b16a-45ca-8aa9-fa700373279f;8e4fe172-e749-4a85-ad9b-ba574354538a;6a688541-b16a-45ca-8aa9-fa700373279f;2017-01-31
2017-01-26;8f5f9a1f-713f-40bd-8c3a-b3b86c12c347;6a688541-b16a-45ca-8aa9-fa700373279f;e029cba3-6152-4444-94f0-65c1da1e9efc;6a688541-b16a-45ca-8aa9-fa700373279f;2015-02-01
;085b8da7-75da-4a74-9f62-690b407533ae;6a688541-b16a-45ca-8aa9-fa700373279f;e1ebae12-dedc-410a-a213-43ccfda52105;6a688541-b16a-45ca-8aa9-fa700373279f;2003-02-01
;6284584e-83e8-41d2-ae03-a65e87488d81;6a688541-b16a-45ca-8aa9-fa700373279f;d6ff74de-09b7-4c1a-b4c4-c18e2ad05d18;6a688541-b16a-45ca-8aa9-fa700373279f;2015-02-01
;d731e172-e6d2-41da-91f2-b50738580bfe;6a688541-b16a-45ca-8aa9-fa700373279f;11f72212-c967-44c9-8fc5-c3458e7c47f9;6a688541-b16a-45ca-8aa9-fa700373279f;2017-02-01
2017-01-26;d731e172-e6d2-41da-91f2-b50738580bfe;6a688541-b16a-45ca-8aa9-fa700373279f;f9fa64f1-caab-455c-a5d9-60c1afec45d6;6a688541-b16a-45ca-8aa9-fa700373279f;2015-02-01
;4d08b889-3dc6-409f-93c4-749c8f2a77b8;6a688541-b16a-45ca-8aa9-fa700373279f;406b938d-e533-4c52-ab9e-598aa5bcfdf4;6a688541-b16a-45ca-8aa9-fa700373279f;2003-02-01
;0a3c6e80-4436-4468-a816-b12471b3739c;6a688541-b16a-45ca-8aa9-fa700373279f;7a20408f-e654-40c6-81d8-9772b4d95af8;6a688541-b16a-45ca-8aa9-fa700373279f;2011-02-03
;ded5a5e0-802d-4076-883e-94befc266229;6a688541-b16a-45ca-8aa9-fa700373279f;2c4127df-d42f-463b-97a5-910f0e816385;6a688541-b16a-45ca-8aa9-fa700373279f;2015-02-01
