,cam:finishDate,cam:siglaUFRepresentacao,cam:startDate,org:member,org:role,slp:resource_uri_x,cam:dataFalecimento,cam:dataNascimento,cam:ideCadastro,cam:nomeCivil,cam:nomeParlamentarAtual,slp:resource_uri_y
22,,BA,2015-02-01,a3173bb6-fb1e-4ed7-9182-d0f657ff29b7,22a2ecf6-5f03-4da9-bc89-48319d152403,d0de0d14-2753-4955-b6f0-4149855e2bd4,,1979-11-03,93083,CARLOS FELIPE VAZQUEZ DE SOUZA LEÃO,CACÁ LEÃO,a3173bb6-fb1e-4ed7-9182-d0f657ff29b7
23,,AP,2015-02-01,8a31f6cd-fc1d-40c4-8fd4-5b03a5e548c6,22a2ecf6-5f03-4da9-bc89-48319d152403,0f8996ae-f0ce-44ac-a26a-61b8071fab5d,,1964-03-06,105112,LUIZ GIONILSON PINHEIRO BORGES,CABUÇU BORGES,8a31f6cd-fc1d-40c4-8fd4-5b03a5e548c6
24,2017-01-01,SP,2015-02-01,098797ec-2a48-41f8-898c-8b33452ea70c,22a2ecf6-5f03-4da9-bc89-48319d152403,55d4be61-32ee-44d8-bb57-c6a8e26f4882,,1980-04-07,178976,BRUNO COVAS LOPES,BRUNO COVAS,098797ec-2a48-41f8-898c-8b33452ea70c
25,,MG,2015-02-01,d8366b31-40f2-4558-bce3-4c24c8897c1b,22a2ecf6-5f03-4da9-bc89-48319d152403,e392c99b-5f8f-45ac-9a72-49be2552ea1b,,1947-03-11,74651,CARLOS DO CARMO ANDRADE MELLES,CARLOS MELLES,d8366b31-40f2-4558-bce3-4c24c8897c1b
26,2017-12-15,MS,2015-02-01,59c7bbf5-1b53-471c-8448-8e4f280f52ef,22a2ecf6-5f03-4da9-bc89-48319d152403,0da2ff4a-b7d3-4d95-91dd-33a26aff8088,,1960-11-21,178900,CARLOS EDUARDO XAVIER MARUN,CARLOS MARUN,59c7bbf5-1b53-471c-8448-8e4f280f52ef
27,,ES,2015-02-01,2ea5d284-fb53-4cc1-8891-aa7843c77504,22a2ecf6-5f03-4da9-bc89-48319d152403,6adb25c9-5373-4d54-9c55-aec460222666,,1957-08-07,74163,CARLOS HUMBERTO MANNATO,CARLOS MANATO,2ea5d284-fb53-4cc1-8891-aa7843c77504
28,,TO,2015-02-01,6b2cea53-544d-4dbc-84e2-413132f121e6,22a2ecf6-5f03-4da9-bc89-48319d152403,3542a1d3-b958-40e1-949f-397cf221dfed,,1961-04-21,178993,CARLOS HENRIQUE AMORIM,CARLOS HENRIQUE GAGUIM,6b2cea53-544d-4dbc-84e2-413132f121e6
29,,CE,2015-02-01,08f29f51-d0dc-46ac-b318-378e0f7be3d8,22a2ecf6-5f03-4da9-bc89-48319d152403,0eacba96-3583-4e24-87d7-c7cfc9e68f58,,1958-09-01,62881,FRANCISCO DANILO BASTOS FORTE,DANILO FORTE,08f29f51-d0dc-46ac-b318-378e0f7be3d8
30,2015-02-04,PE,2015-02-01,1cc9126a-dd9b-4be8-8e09-0b4c46743473,22a2ecf6-5f03-4da9-bc89-48319d152403,875feb53-1c6d-4fec-9e31-e8ba3e43a3b8,,1967-04-21,160528,DANILO JORGE DE BARROS CABRAL,DANILO CABRAL,1cc9126a-dd9b-4be8-8e09-0b4c46743473
31,,GO,2015-02-01,0bcb1eba-2805-43e2-8565-959c8b31c187,22a2ecf6-5f03-4da9-bc89-48319d152403,da89b9ef-00ae-4e43-8fb3-01a7dabf50e0,,1983-10-23,144523,DANIEL ELIAS CARVALHO VILELA,DANIEL VILELA,0bcb1eba-2805-43e2-8565-959c8b31c187
32,,SP,2015-02-01,95fce76e-e824-4977-8386-bffc05763371,22a2ecf6-5f03-4da9-bc89-48319d152403,c76548bb-9763-4049-be4c-385dcd769f65,,1984-07-10,92346,EDUARDO NANTES BOLSONARO,EDUARDO BOLSONARO,95fce76e-e824-4977-8386-bffc05763371
33,2016-05-23,AL,2015-02-01,12742186-5bc8-4bd9-932c-fe247f8c6f3c,22a2ecf6-5f03-4da9-bc89-48319d152403,447b0d29-32af-49c3-9729-7e8431d9a729,,1958-01-08,178841,JOSÉ CÍCERO SOARES DE ALMEIDA,CÍCERO ALMEIDA,12742186-5bc8-4bd9-932c-fe247f8c6f3c
34,,SP,2015-02-01,15d73351-e972-4a4b-8bae-80ac730513b5,22a2ecf6-5f03-4da9-bc89-48319d152403,2c322923-591d-474a-a244-a03626d9975c,,1963-03-31,74262,CARLOS HENRIQUE FOCESI SAMPAIO,CARLOS SAMPAIO,15d73351-e972-4a4b-8bae-80ac730513b5
35,,MG,2015-02-01,0328f737-88fc-4325-9e2a-300cec9b9cae,22a2ecf6-5f03-4da9-bc89-48319d152403,305d4df6-4399-44b3-9487-1d6bc4aa1ac4,,1958-08-25,74655,EDUARDO LUIZ BARROS BARBOSA,EDUARDO BARBOSA,0328f737-88fc-4325-9e2a-300cec9b9cae
36,,PA,2015-02-01,31fbec5e-1e00-496c-a0f6-5d1e56c34cc5,22a2ecf6-5f03-4da9-bc89-48319d152403,cc0bb14f-ff92-48e3-8a18-4f96a525563a,,1957-05-26,134812,EDMILSON BRITO RODRIGUES,EDMILSON RODRIGUES,31fbec5e-1e00-496c-a0f6-5d1e56c34cc5
37,,PR,2015-02-01,15a7dab6-461f-4543-929c-93d2e6ed0069,22a2ecf6-5f03-4da9-bc89-48319d152403,fd49df99-fbcb-4419-a727-528602c77e9c,,1948-01-26,73768,DILCEU JOÃO SPERAFICO,DILCEU SPERAFICO,15a7dab6-461f-4543-929c-93d2e6ed0069
38,,ES,2015-02-01,fda9e9b6-791b-4063-92dd-942f1bd28e88,22a2ecf6-5f03-4da9-bc89-48319d152403,616a131c-0ca8-4e4f-aebf-eb3f5960f9a6,,1972-04-02,178871,EVAIR VIEIRA DE MELO,EVAIR VIEIRA DE MELO,fda9e9b6-791b-4063-92dd-942f1bd28e88
39,,PE,2015-02-01,e4658aff-e9cd-49a5-a2c5-7c557baa744c,22a2ecf6-5f03-4da9-bc89-48319d152403,0bc153e5-677f-4e34-9340-92a906753b72,,1978-11-04,178916,DANIEL PIRES COELHO,DANIEL COELHO,e4658aff-e9cd-49a5-a2c5-7c557baa744c
40,2015-02-03,SP,2015-02-01,7dd105df-c756-44c3-9a42-7655937beeda,22a2ecf6-5f03-4da9-bc89-48319d152403,1965c1a7-3981-4938-9b32-9f0e3e66f41c,,1968-04-14,178979,ANTONIO FLORIANO PEREIRA PESARO,FLORIANO PESARO,7dd105df-c756-44c3-9a42-7655937beeda
41,,RJ,2015-02-01,f100aed0-b8f8-42e1-89a2-351d7fbcb69b,22a2ecf6-5f03-4da9-bc89-48319d152403,3df7833c-19db-4fd2-8998-682f953f6fcb,,1982-06-26,152605,GLAUBER DE MEDEIROS BRAGA,GLAUBER BRAGA,f100aed0-b8f8-42e1-89a2-351d7fbcb69b
42,,SC,2015-02-01,84a09e64-bf05-49c3-b91c-ddfec4fee2e7,22a2ecf6-5f03-4da9-bc89-48319d152403,ba2bb88e-90b3-47ea-a6d9-11d73b0c24af,,1947-12-21,160649,ESPERIDIÃO AMIN HELOU FILHO,ESPERIDIÃO AMIN,84a09e64-bf05-49c3-b91c-ddfec4fee2e7
43,,RR,2015-02-01,2497fcf9-d994-4c8e-b48e-a4be711b78fc,22a2ecf6-5f03-4da9-bc89-48319d152403,98b34e33-11ea-4ced-8f20-5878c7a5e9d2,,1957-06-19,178959,HIRAN MANUEL GONCALVES DA SILVA,HIRAN GONÇALVES,2497fcf9-d994-4c8e-b48e-a4be711b78fc
44,,AP,2015-02-01,aca6b811-13f6-44ea-9a5a-c5282d37a2aa,22a2ecf6-5f03-4da9-bc89-48319d152403,8cc905c3-7080-442d-ad13-00bf9263b173,,1949-05-12,73926,JANETE MARIA GÓES CAPIBERIBE,JANETE CAPIBERIBE,aca6b811-13f6-44ea-9a5a-c5282d37a2aa
45,,PE,2015-02-01,5b3fe908-a9fa-47cb-84cb-a03dc49d26a2,22a2ecf6-5f03-4da9-bc89-48319d152403,f142255e-a9ea-4ce1-9260-c18f5d5e1a2b,,1979-08-22,178917,JOAO FERNANDO PONTUAL COUTINHO,JOÃO FERNANDO COUTINHO,5b3fe908-a9fa-47cb-84cb-a03dc49d26a2
46,,SP,2015-02-01,9b2c766a-ba57-44ad-8cd6-19468fa82aeb,22a2ecf6-5f03-4da9-bc89-48319d152403,198d4f1c-97ee-4b80-a6b6-87dea2e8b986,,1977-06-01,66828,FAUSTO RUY PINATO,FAUSTO PINATO,9b2c766a-ba57-44ad-8cd6-19468fa82aeb
47,,PA,2015-02-01,055e54d4-9a34-4cdf-ae4e-c9b6a933a2bf,22a2ecf6-5f03-4da9-bc89-48319d152403,306e67fa-90d0-42a9-afdd-15c143c63472,,1956-08-24,178907,FRANCISCO ALVES DE AGUIAR,FRANCISCO CHAPADINHA,055e54d4-9a34-4cdf-ae4e-c9b6a933a2bf
48,,CE,2015-02-01,b004a190-744c-47e6-af4f-ddffd36adc96,22a2ecf6-5f03-4da9-bc89-48319d152403,ac111305-3eab-4a45-ac2f-d29302e18c9c,,1957-02-21,141464,JOSÉ AIRTON FÉLIX CIRILO DA SILVA,JOSÉ AIRTON CIRILO,b004a190-744c-47e6-af4f-ddffd36adc96
49,,RJ,2015-02-01,99a43ef5-ded5-48bf-9792-dd1d74c5cd9c,22a2ecf6-5f03-4da9-bc89-48319d152403,3bf2fd66-d320-4ec8-9ed6-441981d9f0ee,,1957-05-17,74848,JANDIRA FEGHALI,JANDIRA FEGHALI,99a43ef5-ded5-48bf-9792-dd1d74c5cd9c
50,,AP,2015-02-01,9a5e3486-1552-476d-a619-fa898782adc3,22a2ecf6-5f03-4da9-bc89-48319d152403,70d81bad-7e71-4d5d-8f13-1a2387fea68e,,1979-03-26,178851,JOZIANE ARAÚJO NASCIMENTO,JOZI ARAÚJO,9a5e3486-1552-476d-a619-fa898782adc3
51,,BA,2015-02-01,890ee311-1045-41ee-af3c-d267db92e573,22a2ecf6-5f03-4da9-bc89-48319d152403,9cc410f4-eac5-417f-ad5a-1f15e5941280,,1947-12-09,74553,JOSÉ CARLOS ALELUIA COSTA,JOSÉ CARLOS ALELUIA,890ee311-1045-41ee-af3c-d267db92e573
52,,RS,2015-02-01,e2f3d761-a44a-4bae-bdcb-ddc5b865c410,22a2ecf6-5f03-4da9-bc89-48319d152403,a6bf1258-4982-4278-8b74-c72031b4a206,,1981-06-02,178965,JOAO DERLY DE OLIVEIRA NUNES JUNIOR,JOÃO DERLY,e2f3d761-a44a-4bae-bdcb-ddc5b865c410
53,,SP,2015-02-01,81be1c11-327d-4965-baff-2ec0316df925,22a2ecf6-5f03-4da9-bc89-48319d152403,2f469e51-29b8-46de-b291-5c773abe2e05,,1978-06-10,178982,LUIZ LAURO FERREIRA FILHO,LUIZ LAURO FILHO,81be1c11-327d-4965-baff-2ec0316df925
54,,MG,2015-02-01,f3872356-c9a4-43e7-a342-1281395d1f04,22a2ecf6-5f03-4da9-bc89-48319d152403,3248285a-a101-4099-92b2-61fec5a84ffc,,1957-09-12,141487,LUIZ FERNANDO RAMOS FARIA,LUIZ FERNANDO FARIA,f3872356-c9a4-43e7-a342-1281395d1f04
55,,GO,2015-02-01,118687ac-a58d-4f53-bc3e-aea766ff9049,22a2ecf6-5f03-4da9-bc89-48319d152403,4c092c1f-35cb-4be7-8bd3-4dcfdc26afc9,,1971-02-15,178880,MARCOS ABRAO RORIZ SOARES DE CARVALHO,MARCOS ABRÃO,118687ac-a58d-4f53-bc3e-aea766ff9049
56,,RO,2015-02-01,52b945a0-5db5-44a4-b13c-61b64dd99165,22a2ecf6-5f03-4da9-bc89-48319d152403,46366ac8-3421-472e-adac-249e5bc3c655,,1960-11-23,74177,MARINHA CÉLIA ROCHA RAUPP DE MATOS,MARINHA RAUPP,52b945a0-5db5-44a4-b13c-61b64dd99165
57,,SP,2015-02-01,3458f5a3-cf98-42f4-b46a-64bae2b3e39c,22a2ecf6-5f03-4da9-bc89-48319d152403,f44be2cd-7377-411f-b94c-8a74b62617b8,,1961-06-11,74787,MILTON ANTONIO CASQUEL MONTI,MILTON MONTI,3458f5a3-cf98-42f4-b46a-64bae2b3e39c
58,,MG,2015-02-01,96277a2a-f12c-49ee-a52a-2119d7f1fa4f,22a2ecf6-5f03-4da9-bc89-48319d152403,6334cbc9-303c-43dc-b777-17ee4fc6fecb,,1987-06-12,146788,MARCELO GUILHERME DE ARO FERREIRA,MARCELO ARO,96277a2a-f12c-49ee-a52a-2119d7f1fa4f
59,,SP,2015-02-01,32b7704b-7ccb-42a4-9864-0d10fad81f98,22a2ecf6-5f03-4da9-bc89-48319d152403,49953702-9553-4dd7-b5df-a32a01c4bc82,,1964-01-29,178985,MIGUEL LOMBARDI,MIGUEL LOMBARDI,32b7704b-7ccb-42a4-9864-0d10fad81f98
60,2017-04-11,MG,2015-02-01,f1c42f04-a2fd-4602-a9fb-3bf2ec66dd05,22a2ecf6-5f03-4da9-bc89-48319d152403,9702bd69-97bd-4a62-8c15-2889a0de3ce3,,1954-09-30,74158,MÁRIO LÚCIO HERINGER,MÁRIO HERINGER,f1c42f04-a2fd-4602-a9fb-3bf2ec66dd05
61,,MG,2015-02-01,a1aca44b-e25f-4ffa-ba8c-a2280445731d,22a2ecf6-5f03-4da9-bc89-48319d152403,74a24a4d-1820-43eb-b50f-5f739b0ae50e,,1979-11-11,178896,NEWTON CARDOSO JUNIOR,NEWTON CARDOSO JR,a1aca44b-e25f-4ffa-ba8c-a2280445731d
62,,RJ,2015-02-01,8f7f8f69-5235-4e9d-a884-ce61d75fd613,22a2ecf6-5f03-4da9-bc89-48319d152403,88c86121-ac87-47d6-b4df-aef21f55adce,,1961-07-29,141515,OTAVIO SANTOS SILVA LEITE,OTAVIO LEITE,8f7f8f69-5235-4e9d-a884-ce61d75fd613
63,2018-02-19,SP,2015-02-01,0685388c-49fd-42f8-a945-080138e67328,22a2ecf6-5f03-4da9-bc89-48319d152403,e6e6f6fb-68ec-40e7-8cdd-a52ed5c035dd,,1931-09-03,132056,PAULO SALIM MALUF,PAULO MALUF,0685388c-49fd-42f8-a945-080138e67328
64,,SP,2015-02-01,f82dcb07-a11b-4620-a5ec-9d7784a861ed,22a2ecf6-5f03-4da9-bc89-48319d152403,17e839cd-5604-4f9a-ba17-6c5fd885bb7a,,1972-10-12,160601,MARCO ANTÔNIO FELICIANO,PR. MARCO FELICIANO,f82dcb07-a11b-4620-a5ec-9d7784a861ed
65,,RS,2015-02-01,81f5e736-f84f-44c6-8f63-f64947aadcc4,22a2ecf6-5f03-4da9-bc89-48319d152403,db955b9f-8443-41e6-9403-a864cc940513,,1958-07-12,73486,DARCI POMPEO DE MATTOS,POMPEO DE MATTOS,81f5e736-f84f-44c6-8f63-f64947aadcc4
66,,GO,2015-02-01,413a3ac3-bcd0-4bb9-9b49-b03ce2014e06,22a2ecf6-5f03-4da9-bc89-48319d152403,c72ef8cc-015e-4ee9-ace4-f36f00bc049a,,1987-04-08,178879,LUCAS DE CASTRO SANTOS,LUCAS VERGILIO,413a3ac3-bcd0-4bb9-9b49-b03ce2014e06
67,,RJ,2015-02-01,dc487c48-3d09-4709-a107-2b1fabe26f6a,22a2ecf6-5f03-4da9-bc89-48319d152403,fb7b4218-6513-4957-a234-ba272d376fc5,,1978-08-14,178944,ROBERTO DA SILVA SALES,ROBERTO SALES,dc487c48-3d09-4709-a107-2b1fabe26f6a
68,,BA,2015-02-01,6352fe51-c310-409c-82f4-088130e6973d,22a2ecf6-5f03-4da9-bc89-48319d152403,83c95cf6-1eb1-46c2-9683-40186abed19a,,1960-01-05,178861,RONALDO CARLETTO,RONALDO CARLETTO,6352fe51-c310-409c-82f4-088130e6973d
69,2016-04-06,SP,2015-02-01,2b913d98-5ab3-4605-937d-ec26e40f09c7,22a2ecf6-5f03-4da9-bc89-48319d152403,78d031b8-0c3a-4aad-a81e-a1bec51d2aa5,,1963-02-09,178990,SAMUEL MOREIRA DA SILVA JUNIOR,SAMUEL MOREIRA,2b913d98-5ab3-4605-937d-ec26e40f09c7
70,2016-05-12,RS,2015-02-01,c1a77e59-28c2-4b3b-9851-d6ea8f98a8e4,22a2ecf6-5f03-4da9-bc89-48319d152403,83c40af2-5ee1-4a99-a8da-9d9202a1cbce,,1950-02-18,73692,OSMAR GASPARINI TERRA,OSMAR TERRA,c1a77e59-28c2-4b3b-9851-d6ea8f98a8e4
71,,MS,2015-02-01,c5c7c191-13e4-435c-92f9-4387209d3f1d,22a2ecf6-5f03-4da9-bc89-48319d152403,61c60c27-ec08-4d3f-8aac-b4e2a9a0d86f,,1954-07-06,178901,TEREZA CRISTINA CORREA DA COSTA DIAS,TEREZA CRISTINA,c5c7c191-13e4-435c-92f9-4387209d3f1d
72,,MS,2015-02-01,751854d4-1a34-467e-a257-1733509ca504,22a2ecf6-5f03-4da9-bc89-48319d152403,d6ca2feb-aa87-4bca-b107-4ed51bc9242b,,1964-01-22,74376,VANDER LUIZ DOS SANTOS LOUBET,VANDER LOUBET,751854d4-1a34-467e-a257-1733509ca504
73,,MA,2015-02-01,cbb14715-0305-430d-bc1c-dbf011a2b347,22a2ecf6-5f03-4da9-bc89-48319d152403,d3163ccf-c040-43a9-a487-e100a3c52d48,,1955-08-04,141558,WALDIR MARANHÃO CARDOSO,WALDIR MARANHÃO,cbb14715-0305-430d-bc1c-dbf011a2b347
74,,BA,2015-02-01,df2a33e0-8cd7-4952-8b5d-d3d4f8f7aa3a,22a2ecf6-5f03-4da9-bc89-48319d152403,20e87bea-8efc-4b7b-a040-01324d630932,,1954-03-08,160569,WALDENOR ALVES PEREIRA FILHO,WALDENOR PEREIRA,df2a33e0-8cd7-4952-8b5d-d3d4f8f7aa3a
75,,MT,2015-02-01,06542a65-3e37-489a-b14d-8f29edd32f86,22a2ecf6-5f03-4da9-bc89-48319d152403,cea81291-0554-48c7-a696-1ae6b38ea76b,,1963-04-11,160630,SÁGUAS MORAES SOUSA,SÁGUAS MORAES,06542a65-3e37-489a-b14d-8f29edd32f86
76,,MA,2015-02-01,7b9fcb0c-b186-4b43-b289-476c3a2960dd,22a2ecf6-5f03-4da9-bc89-48319d152403,90363bf8-3523-45a0-9558-1879f2e2a5be,,1955-05-26,178889,JOSÉ CARLOS NUNES JÚNIOR,ZÉ CARLOS,7b9fcb0c-b186-4b43-b289-476c3a2960dd
77,,SC,2015-02-01,c3d3625e-ea63-4afa-8519-86cff2399cdf,22a2ecf6-5f03-4da9-bc89-48319d152403,a765660d-d46c-4152-80b9-c25b7d31fc3c,,1956-03-09,160515,RONALDO JOSÉ BENEDET,RONALDO BENEDET,c3d3625e-ea63-4afa-8519-86cff2399cdf
78,,RN,2015-02-01,8fa4ec72-82c0-4868-a76a-ed04e6e57caf,22a2ecf6-5f03-4da9-bc89-48319d152403,519fd802-8e88-41c7-acda-20c407f274f0,,1954-11-27,178949,ZENAIDE MAIA CALADO PEREIRA DOS SANTOS,ZENAIDE MAIA,8fa4ec72-82c0-4868-a76a-ed04e6e57caf
79,,MS,2015-02-01,76097d2b-f224-4ccf-9005-c24f380cb13b,22a2ecf6-5f03-4da9-bc89-48319d152403,ff1c2480-5f18-4aae-8c55-1a0073b73df3,,1950-02-24,178902,JOSE ORCIRIO MIRANDA DOS SANTOS,ZECA DO PT,76097d2b-f224-4ccf-9005-c24f380cb13b
80,,SP,2015-02-01,61884513-cd6d-445c-9a00-3ea457ecee26,22a2ecf6-5f03-4da9-bc89-48319d152403,b96c0d29-7a3b-4d7e-a4ba-bf8202748bad,,1950-05-20,141553,VANDERLEI MACRIS,VANDERLEI MACRIS,61884513-cd6d-445c-9a00-3ea457ecee26
81,,PE,2015-02-01,975d7b68-4473-4651-a477-27517b8697bf,22a2ecf6-5f03-4da9-bc89-48319d152403,b5d7d1bc-b9a5-425e-b2e7-795b67004a3b,,1966-07-21,178923,JOSE CAVALCANTI ALVES JUNIOR,ZECA CAVALCANTI,975d7b68-4473-4651-a477-27517b8697bf
82,,PA,2015-02-01,ad6dcb7b-7111-4e00-8ea9-2b932c07f863,22a2ecf6-5f03-4da9-bc89-48319d152403,2923babe-8d46-4020-8b8c-4fde5425b1e6,,1961-12-21,73931,JOSÉ GERALDO TORRES DA SILVA,ZÉ GERALDO,ad6dcb7b-7111-4e00-8ea9-2b932c07f863
