;cam:dataFim;cam:dataInicio;cam:descricaoCausaFimExercicio;cam:idCadastroParlamentarAnterior;cam:idCausaFimExercicio;cam:siglaUFRepresentacao;cam:situacaoExercicio;org:hasMember;org:role;slp:resource_uri
125;;2016-09-16;;;;RJ;Titular;af5e41ed-3e82-4cd8-a7d0-fa210ff9c0b0;b27beba7-ca02-4041-a9e0-1793bcd141fe;f0bda547-4205-45ce-ad2c-1f55cee53cca
126;2016-11-10;2016-07-12;Afastamento;141384;53;SE;Suplente;2a0da33d-55ec-4a62-9ef8-05730c61c8f2;b27beba7-ca02-4041-a9e0-1793bcd141fe;d5b29a71-0257-417c-b065-ae44a26b41a3
127;;2015-02-01;;;;MG;Titular;00ac9604-d27c-4da7-be05-53468e659ad4;b27beba7-ca02-4041-a9e0-1793bcd141fe;d024fdc8-5d50-4873-882d-001bc35c0639
128;;2015-02-01;;;;SP;Titular;7cfd1d07-4e3c-4cbb-9858-aa5ec4923071;b27beba7-ca02-4041-a9e0-1793bcd141fe;039a4325-2a1e-4ef8-ae34-68d13baa2a47
129;;2015-02-01;;;;PA;Titular;1fb87bf9-90cf-495a-a9f5-a37cc8e814ac;b27beba7-ca02-4041-a9e0-1793bcd141fe;3478a61a-4a74-4803-8cb4-2c9fb7daa207
130;;2015-02-01;;;;RJ;Titular;d68296a9-d219-4114-a762-8a61bff16ce7;b27beba7-ca02-4041-a9e0-1793bcd141fe;d17bd797-a18f-4bac-8b60-b19d1addf048
131;;2015-02-01;;;;RN;Titular;4c9f29ef-a166-489f-8ad8-dd1edf05104c;b27beba7-ca02-4041-a9e0-1793bcd141fe;c26d3675-6ccd-4e88-8cb1-a3261f3c48f7
132;;2015-02-01;;;;TO;Titular;42657218-55cf-4a23-b3c5-9a190b8e87c7;b27beba7-ca02-4041-a9e0-1793bcd141fe;cbb3eb31-346d-4952-a4ce-361d19bb228e
133;;2015-02-01;;;;MG;Titular;3feb5e57-f628-4f5b-a7e8-db2d352dddf0;b27beba7-ca02-4041-a9e0-1793bcd141fe;1bbd942d-6e0d-4454-97b4-d5d02f2509b9
134;;2015-02-01;;;;SP;Titular;adfa324f-af34-4b9a-b3a0-1bd6a69f5319;b27beba7-ca02-4041-a9e0-1793bcd141fe;25a6f0a9-73f7-408a-b0ea-796101b8e929
135;;2015-02-01;;;;MT;Titular;276df837-5959-4dcf-b063-9f5db38da1ed;b27beba7-ca02-4041-a9e0-1793bcd141fe;028400a8-3528-40eb-8d06-502b9f99d23d
136;;2017-09-12;;178847;;AM;Suplente;7ffddd38-9b63-46be-b8c8-62678d984cdc;b27beba7-ca02-4041-a9e0-1793bcd141fe;150a7e54-8da0-4a57-b1c5-062307f17559
137;;2015-02-01;;;;SP;Titular;4e0277c3-7797-4a29-89bb-8dc14adda2db;b27beba7-ca02-4041-a9e0-1793bcd141fe;fa09a526-9750-4c1a-87f3-8271acf89e66
138;2015-03-10;2015-02-01;Secretário de Estado;;12;PI;Titular;ef8360c3-270c-4ad5-a048-2e6f5eab803d;b27beba7-ca02-4041-a9e0-1793bcd141fe;39b36ccb-374e-48e7-83cc-504eae3f5261
139;2015-07-07;2015-07-06;Secretário de Estado;;12;PI;Titular;ef8360c3-270c-4ad5-a048-2e6f5eab803d;b27beba7-ca02-4041-a9e0-1793bcd141fe;c14a8844-666c-402f-90f2-ab81fb6b914e
140;2016-04-19;2016-04-15;Secretário de Estado;;12;PI;Titular;ef8360c3-270c-4ad5-a048-2e6f5eab803d;b27beba7-ca02-4041-a9e0-1793bcd141fe;48bf809f-2ede-40db-9c2b-d22f33826210
141;2016-10-21;2016-10-18;Secretário de Estado;;12;PI;Titular;ef8360c3-270c-4ad5-a048-2e6f5eab803d;b27beba7-ca02-4041-a9e0-1793bcd141fe;05fca4d3-3e8e-4650-80de-65eb1b19f520
142;2017-10-27;2017-10-19;Secretário de Estado;;12;PI;Titular;ef8360c3-270c-4ad5-a048-2e6f5eab803d;b27beba7-ca02-4041-a9e0-1793bcd141fe;05532dff-e7b0-4221-8595-08813d16dfcb
143;2017-12-15;2015-02-01;Ministro de Estado;;11;MS;Titular;0c95adeb-b668-4eb1-b8da-0c70d149ea35;b27beba7-ca02-4041-a9e0-1793bcd141fe;2d2da96e-5316-450f-b128-8c2f1084e921
144;;2015-02-01;;;;RS;Titular;55d644ef-8080-4b53-abaf-d8e664d8c6e0;b27beba7-ca02-4041-a9e0-1793bcd141fe;7778741f-bedb-4920-81fe-dae109530b8d
145;2016-04-14;2015-02-04;Afastamento;160528;53;PE;Suplente;88c97fd6-f7bc-4771-8e64-72ba4d65f21f;b27beba7-ca02-4041-a9e0-1793bcd141fe;444f327c-2023-401e-bfec-33739fdf93d2
146;2017-08-02;2016-04-20;Afastamento;160528;53;PE;Suplente;88c97fd6-f7bc-4771-8e64-72ba4d65f21f;b27beba7-ca02-4041-a9e0-1793bcd141fe;9ca1720c-b41e-4b0e-8d34-2b6116d1bd18
147;2017-10-20;2017-08-03;Afastamento;141394;53;PE;Suplente;88c97fd6-f7bc-4771-8e64-72ba4d65f21f;b27beba7-ca02-4041-a9e0-1793bcd141fe;238ba772-cbdb-447a-81b4-355429430e01
148;2017-10-25;2017-10-23;Afastamento;72442;53;PE;Suplente;88c97fd6-f7bc-4771-8e64-72ba4d65f21f;b27beba7-ca02-4041-a9e0-1793bcd141fe;91f32340-9e4e-4cd2-b049-900df0993650
149;;2017-10-26;;141394;;PE;Suplente;88c97fd6-f7bc-4771-8e64-72ba4d65f21f;b27beba7-ca02-4041-a9e0-1793bcd141fe;55c2d21f-8a7a-4c34-9b24-6c9956e5923c
