sen:CodigoParlamentar;sen:NomeCompletoParlamentar;sen:NomeParlamentar;slp:resource_uri
5098;Roberto Wagner Monteiro;Roberto Wagner Monteiro;fc5a01bb-ada2-4827-96cd-81dc0981081f
4593;Rodrigo Sobral Rollemberg;Rodrigo Rollemberg;aa4e7274-d07b-420c-b288-a6c1bd346415
5052;Roberto de Oliveira Muniz;Roberto Muniz;e3e613a0-e4d6-48f1-b539-0f12f56c57e3
70;José Renan Vasconcelos Calheiros;Renan Calheiros;704ccd75-54f6-4982-a9e4-e200c5c7bb7d
5635;Ricardo Barreto Franco;Ricardo Franco;4be7a2c0-9ef8-4610-883e-6fd4ec7b0fcf
635;Ricardo de Rezende Ferraço;Ricardo Ferraço;96e47bfe-4c69-446b-81af-26f897b8e572
72;Roberto Requião de Mello e Silva;Roberto Requião;6f5242ea-12db-4c41-bff7-5299f2aa9a2f
5236;José Antônio Machado Reguffe;Reguffe;d45c0377-d2c4-416e-b720-7586f288ccc9
5072;Reditario Cassol;Reditario Cassol;8b363c50-991a-4509-91f2-2575da40478b
2207;Raimundo Lira;Raimundo Lira;5fb7c310-2427-43d4-b586-53071bd06d71
5182;Maria Regina Sousa;Regina Sousa;99b342f0-2b78-4804-8852-3b77ee3a8941
5012;Randolph Frederich Rodrigues Alves;Randolfe Rodrigues;160bd2ea-1fec-4d96-ac7f-0b8c4a6b54ca
4606;José Eleonildo Soares;Pinto Itamaraty;c8be6b4c-9cfe-47cb-9161-443829eaa6e9
5010;José Pedro Gonçalves Taques;Pedro Taques;0900bfe6-4810-4e47-be0d-397152b2cb1a
5050;Pedro Irno Tonelli;Pedro Irno Tonelli;37315c09-3b64-4f6e-b2ad-2c118dd8957e
5114;Paulo Pereira Fíuza Filho;Paulo Pereira Fíuza Filho;4bb24361-4769-4db2-be69-ff57f475d080
5589;Paulo Henrique Campos Matos;Paulo Matos;55a4294a-75f7-4316-a373-d37c91d8dece
5116;Pedro Chaves dos Santos Filho;Pedro Chaves;5feb77d5-5b05-46fc-9b9a-b5be9a907cba
825;Paulo Renato Paim;Paulo Paim;0baeb9d7-a5c2-442a-ae5c-18085d8534cc
5152;Paulo Frateschi;Paulo Frateschi;487a263b-ee4e-4b50-a1d1-98cf4afe321a
824;Paulo José Gouvêa;Paulo Gouvêa;1a9e6740-c471-4e84-bc28-0d8494a816ad
374;Paulo Roberto Galvão da Rocha;Paulo Rocha;6cea9d09-01b4-4c81-b31d-da59c7d05d93
5020;Paulo Roberto Davim;Paulo Davim;c12eaf15-797a-4b82-9cf0-49d73286f338
5599;Ibanes Taveira da Silva;Pastor Ibanes Taveira;4ee85da2-2e19-427d-879a-853052503b96
918;Amarildo Martins da Silva;Pastor Amarildo;eaeae990-7b37-46b9-b628-6e56b46359d8
3741;Paulo Roberto Bauer;Paulo Bauer;93072985-32b9-4d9c-a539-dc270713021f
5080;Pablo Sergio Souza Bezerra;Pablo Sergio Souza Bezerra;6aac961e-3c8a-49ff-860e-113cf7dab92c
5617;Sebastião Valadares Neto;Pastor Valadares;dcdc616c-4ee6-4640-b71f-af2f6be5eeb8
5018;Heber Waldo Silva Costa;Pastor Bel;9532deae-8158-4ac3-9a6c-02a991745d57
5122;Paulo Antenor de Oliveira;Paulo Antenor de Oliveira;c0a75982-435d-4dd8-910c-3c8da2b8853c
5523;Otto Roberto Mendonça de Alencar;Otto Alencar;a676b763-d3e9-48b6-90f5-7dd3b049964c
288;Nilson Moura Leite Mourão;Nilson Mourão;2d8bf927-e0ce-451c-95ca-08c52b1a8bec
64;Odacir Soares Rodrigues;Odacir Soares;28fd999b-a475-490e-ac1f-28fa87a89f40
5525;Omar José Abdel Aziz;Omar Aziz;e86db083-aac8-4108-af0f-110d4f5b91cc
5281;Ozanilda Gondim Vital do Rego;Nilda Gondim;7b7d158b-4cb4-4ef9-9b0d-37d91c2e5c93
5060;Olney Ribeiro Botelho;Olney Ribeiro Botelho;68fbb95c-bc63-4790-9376-f40bb65279ce
380;Nicias Lopes Ribeiro;Nicias Ribeiro;3afbd364-424e-4be2-aead-8291237b9cf2
5176;Nestor Duarte Guimarães Neto;Nestor Duarte Guimarães Neto;5ac5daf9-e50d-441a-9c82-3d161037b2be
5094;Márcio Bergonsi Turra;Márcio Bergonsi Turra;91e6270a-ff85-4e5c-945f-fe14ba6a8138
5575;Marizete Lisboa Fernandes Pereira;Marizete;bcc87d5a-abdc-4dcc-93db-6c2ccff97db4
5000;Marta Teresa Suplicy;Marta Suplicy;41b97fb2-fb80-4ded-bd39-ec0edb7814bf
5571;Marco Jeovano Soares Ribas;Marquinho;c80acb03-71f9-4b43-8f77-67e15b18e2b5
5595;Moacir Kohl;Moacir Kohl;e3486718-e8e8-485d-af8c-9f62eb791a02
