slnp:resource_uri;rdfs:label
875b55b3-fd69-4914-80e7-59db450a9ee0;Affiliate
33e3d919-601f-4e16-a5d4-27a88a736933;Affiliate
5e876ab4-d46c-4799-b985-30c532e41a9b;Affiliate
fa6163e9-0b06-433d-a889-829a23a8d09c;Affiliate
3cde868d-adb2-4c62-8a0d-8229270ea971;Affiliate
8f903836-ac86-4bc1-b778-b34cf1885597;Affiliate
9321bf89-162e-4dd2-93d6-e6b4cc7d1982;Affiliate
5a1b0ab6-e035-49e4-b8ae-36b3327d9e3d;Affiliate
ced4afbd-1521-4ca0-8fd7-6fe5dcc55c1f;Affiliate
b13d4d56-df7e-4de4-965f-15b6d5f3ea19;Affiliate
e5819cfb-d48b-41bb-8774-5f573d6d6f4f;Affiliate
21c56026-dbda-4527-8afe-a90a907dda1c;Affiliate
a64f7a81-0908-45eb-9456-6cbf2a20717e;Affiliate
047a42c9-6d9e-498e-888e-513265afb536;Affiliate
7f469af5-648c-429b-85b4-8482fc337819;Affiliate
4335e0a0-d374-41a2-b311-45fb43c891f3;Affiliate
eefed09c-ee3f-472c-9fc0-3e66bd6d89b3;Affiliate
221d1b4f-c2a6-4cff-ad23-d8ccffff94ae;Affiliate
c93e83d5-ae90-4cb3-b25f-6d62908fd7c2;Affiliate
b9446814-a286-42dc-a8a5-de084cfcaba3;Affiliate
7956f2a7-32a6-4985-bb89-909c52ea75e2;Affiliate
5a93c9ba-b1a6-40e8-9a4a-103d2254dea9;Affiliate
a4f0d605-992d-4623-92d6-ad00ee386acc;Affiliate
d94b4bc0-2e05-4d2b-a282-ad71b0ded161;Affiliate
af2e952e-898d-4472-9555-b54715ab20dd;Affiliate
2d5702b0-736a-4e72-af1a-d99ae3088a88;Affiliate
f70230b5-ed98-4dd4-85bd-af3a4d7f43a6;Affiliate
3cd633fc-87ff-4ad4-af78-331e09599f25;Affiliate
eb3d93be-0724-4614-9606-6d8fedfe6d44;Affiliate
aede23e9-ea80-4569-a090-4d213791d86a;Affiliate
8da955ba-84c6-4ac3-81b4-87f3f861652d;Affiliate
c7c8e78e-ed6f-4b9e-ad96-3e4a3bae30b5;Affiliate
f4761bc2-b781-4dbd-bead-edfb726f14bb;Affiliate
6e7f0201-d185-44ab-a594-d9b9fa39cac7;Affiliate
c111c8d1-7d8e-4e46-bc3d-26e9116c1f9e;Affiliate
1d827592-ed07-4496-8458-b307ccc1b6fd;Affiliate
af01a4cb-71b8-40f3-b82b-74632212fde9;Affiliate
a388e9d1-361c-4624-9c35-221fb34893b6;Affiliate
5a2ca15a-6d16-4814-b5f6-b962a6e22820;Affiliate
518e8818-bc87-41c5-a073-bb323735f99e;Affiliate
ea14cb08-dc28-44f9-a59a-7e8ba0cd7e0c;Affiliate
943822a3-d22f-42e0-8fb2-afebcb8ea1a7;Affiliate
fd0105f1-9811-40e3-8db3-e63ae5b0d90a;Affiliate
aa32c52f-8e0f-4198-b661-910dd2ad7bd2;Affiliate
8361da51-5f36-4f00-aba7-cebc2ab9069a;Affiliate
268d409b-abb4-425b-a589-cd06844e6d00;Affiliate
e937ac21-dd85-4bbc-aa69-9ef87337ce8e;Affiliate
e1a6e799-f670-4c08-ab31-0d08c1788053;Affiliate
99296c5b-7622-487c-ad87-a34df4a6b35f;Affiliate
c37e21de-6ebf-4d06-bd57-b9cc0e180a46;Affiliate
aed0bb3b-ee4e-4fd0-8572-e4d9fc87c7c1;Affiliate
3f563ec5-0874-4199-9959-79bd88ba4c36;Affiliate
a3f00f98-f581-4f61-8ac6-71270885d289;Affiliate
8e2ef98c-d91d-43e4-aa16-216538b4d5dc;Affiliate
03264a70-5926-4037-afb9-911c793ee72d;Affiliate
b559a8eb-cdab-40ea-ad4a-6cb3021f9983;Affiliate
28b96a45-4efc-484d-8858-4306a08ae3c0;Affiliate
acef034f-4087-4f14-aeda-85787359d0e7;Affiliate
5718cc46-600d-4b2f-bda6-da9132b8ba96;Affiliate
fd6f17a6-deb6-4836-bc31-7fbd7f97c2c7;Affiliate
d0107f5e-44c6-4dd7-b1d4-3d09d01db0cc;Affiliate
664d86cd-97b9-436b-9032-26834b0b4762;Affiliate
3aec820a-24d1-4511-8add-4639594fa07e;Affiliate
19f6415b-ece1-44d1-bf98-143bbdb56391;Affiliate
3fba6964-5ed2-4639-a290-20a0f141f6b3;Affiliate
7a112db1-0c68-42db-8354-08e07b3fbdb4;Affiliate
9b86e931-46f2-4c9b-9d4d-6dd3d19e1bc0;Affiliate
19b4c93c-48f7-460a-93e3-21849c00ddec;Affiliate
303d95dd-7611-4be2-9c9a-e9a7b112d37f;Affiliate
353177f3-c297-4e74-8ff5-e4bc004ed5ee;Affiliate
d97e9ea4-1100-484f-a855-34d93ff4eedd;Affiliate
9beb32b4-280c-493e-8478-6414032f9458;Affiliate
21320c16-6dc3-4aa7-82ce-8cb1d39d3fb6;Affiliate
3aca653b-3627-4373-9211-c04bdea8170d;Affiliate
53ac3ea5-686d-45c0-bfc9-0d78be1d48f8;Affiliate
420105f4-c2a3-49d6-bf3d-8369a43ccf5e;Affiliate
0cd1c3b3-33e0-44b2-8ad9-1546f3bf3c6e;Affiliate
6c4447f8-5360-4f1f-8188-6698ea0b294a;Affiliate
08f55ae7-77fb-4706-aeb8-49bace580246;Affiliate
7a086104-98f6-42d4-8c2f-32518695aa9b;Affiliate
4c07e9bf-688f-469f-b5e9-6ef52da78aae;Affiliate
0f6040bc-6ea5-4a6c-bf55-cac3b48f0b06;Affiliate
b122524e-7eec-4542-8677-8c55ba30e3df;Affiliate
48f77a5d-f0e6-4dd0-87b5-ea11ae99fff2;Affiliate
90f8e7ca-026c-4c29-85ad-25bbfb3c6182;Affiliate
3928f826-6b5f-4f46-89bb-b65d0ff275a8;Affiliate
6b495ad3-f16e-48f1-9856-0c998dfd3620;Affiliate
14d98b5f-d837-4faf-b582-a7c66a9cdc46;Affiliate
93077d2c-cf0c-4f43-bd2c-2066a3ef1ec7;Affiliate
54cfc613-dea7-48b1-9b4a-ab867c8439b2;Affiliate
883bc85a-d4eb-4a2d-aeac-1a6f2342fdfa;Affiliate
0dafff92-e6fd-4692-98e5-e2271a3d1b62;Affiliate
3cecc93b-a821-43e3-942b-902541d4072f;Affiliate
5fdae414-3afe-4ce2-b4bc-afa4b5f23405;Affiliate
f0458bd2-a45e-4540-90b1-42676d457f65;Affiliate
b29127ac-8bc0-49a8-8ce5-1b2155cdccfe;Affiliate
06cecef5-2398-4371-9126-4b7878cced7d;Affiliate
1fc39c9c-5f77-4684-a20f-a24eb5dd4ce5;Affiliate
9accd2ba-fe01-4e3b-9f8c-4bd1e116a10b;Affiliate
1f5a61db-2e66-4f5b-8a9b-591bee8f5f8d;Affiliate
6f71b2e5-8cc9-4104-87c6-347ee4424695;Affiliate
193fcc71-cfcc-4429-bc15-493d14f45285;Affiliate
d1bb4643-c413-43b7-9ce2-620f813ab95d;Affiliate
bdbd7399-6de9-4c55-9143-cc358b3a6123;Affiliate
672b9595-38d3-44d3-995a-b2dcfbd92529;Affiliate
bc939a97-4994-4a7c-aedb-2eaafc8ae77c;Affiliate
5b705606-6744-4a41-af36-229294094d26;Affiliate
14d1e090-61ff-4df2-bbbe-7043007df3b0;Affiliate
4119b828-dc75-414a-868e-95c211124dc1;Affiliate
3793ea69-a4fe-4ac3-aca4-6ec22bea6f33;Affiliate
c2caa2bf-7610-4043-ab07-e3c42c2db784;Affiliate
28ecca6e-1a36-42b0-880f-0c44c8d368f6;Affiliate
bfafb2f4-30b9-4ed0-a049-81662e38c99f;Affiliate
d42664c6-fd36-47f3-83bc-53057b7abe70;Affiliate
dc920f73-e030-4ad6-9766-0ca6b589bb40;Affiliate
a59a94af-d274-4643-a460-0942647f851d;Affiliate
d80efdd6-c010-4446-873b-a0153cb439d3;Affiliate
bf8aabdc-2c9e-4b6b-b4b2-2e1356190ddc;Affiliate
756acd8b-5fc9-4abd-9bdf-a7db41eb10e9;Affiliate
dcc83dcb-4988-4d50-9072-3d78795c6c7d;Affiliate
6b2c61ce-6f63-4f06-bd47-852c9bd24c40;Affiliate
60b87270-2f5d-4618-b233-f1b9bcac1af3;Affiliate
fdd0c573-fc3a-44a6-8220-94d24f85d53e;Affiliate
7d6f5b2b-da46-439f-83d4-214f6cd65e5c;Affiliate
d9d8fd2b-38fb-4be7-afaa-1131c913faa3;Affiliate
36563cc2-136c-429b-9b2f-9d06a1edd6ec;Affiliate
3c31e24c-d618-46b5-ba43-b989e893c06c;Affiliate
2b2b2764-c44f-40bc-a9ad-6fc23cca22cf;Affiliate
8fce54c0-0e24-49b3-ac9e-8657603a67d4;Affiliate
e4377f6c-55be-48ce-8820-5c74f5dbb7fa;Affiliate
e7abbb4b-a459-4240-8661-7d0e9b70054e;Affiliate
