slnp:resource_uri;cam:dataFalecimento;cam:dataNascimento;cam:ideCadastro;cam:nomeCivil;cam:nomeParlamentarAtual;sen:CodigoParlamentar;sen:NomeCompletoParlamentar;sen:NomeParlamentar
94d0868b-83d0-4d6b-83ad-6f0b829b5f5e;;1977-06-29;178905.0;FABIO PAULINO GARCIA;FABIO GARCIA;;;
706fd0ee-b568-448e-84bd-bc42c668a39e;;1974-08-25;146829.0;FABIANO TAQUES HORTA;FABIANO HORTA;;;
cd17c3fd-0140-461d-b5ee-efd2affd5b5f;;1988-10-05;178953.0;EXPEDITO GONCALVES FERREIRA NETTO;EXPEDITO NETTO;;;
70a94318-a254-4d66-9585-f539f30f75fb;;1977-02-24;178969.0;FABIO CRUZ MITIDIERI;FÁBIO MITIDIERI;;;
76563ffb-1923-4029-92e2-36fefbfd0663;;1963-10-28;178904.0;EZEQUIEL ANGELO FONSECA;EZEQUIEL FONSECA;;;
b050ba0b-d604-4203-b521-2d01191979df;;1977-09-01;141428.0;FÁBIO SALUSTINO MESQUITA DE FARIA;FÁBIO FARIA;;;
d8891d3f-e9d9-4172-8b22-972834935e79;;1973-03-03;178930.0;EVANDRO ROGERIO ROMAN;EVANDRO ROMAN;;;
235f6d78-3cac-4f32-a074-8bbe87207b93;;1977-02-27;178883.0;ELIZIANE PEREIRA GAMA MELO;ELIZIANE GAMA;;;
52953156-f626-447a-bee1-4f78daa430e0;;1971-05-20;160640.0;EROS FERREIRA BIONDINI;EROS BIONDINI;;;
2f76bf90-84ad-4159-a2ce-2067408c9f61;;1980-09-11;178828.0;EVANDRO HERRERA BERTONE GUSSI;EVANDRO GUSSI;;;
e2d14a77-be39-4120-901d-0e8b757d6f2b;;1957-08-15;160575.0;ÉRIKA JUCÁ KOKAY;ERIKA KOKAY;;;
2faf0164-5bb5-4015-a25d-6543e85806fb;;1961-03-27;132504.0;ENIO JOSÉ VERRI;ENIO VERRI;;;
35f4f858-1c3c-4cd4-a010-1a31e81c2696;;1965-01-29;99654.0;ERIVELTON LIMA SANTANA;ERIVELTON SANTANA;;;
6661deb9-1281-4b24-833f-11bb9895e63a;;1970-07-06;178854.0;ELMAR JOSE VIEIRA NASCIMENTO;ELMAR NASCIMENTO;;;
5daa2f11-b281-4441-bb1d-3c2dcb5d4ebf;;1976-01-13;160532.0;ADRIANO ELI CORRÊA;ELI CORRÊA FILHO;;;
aa96eebd-e753-4585-90c4-d0b724e46eca;;1972-10-17;141421.0;EDUARDO HENRIQUE DA FONTE DE ALBUQUERQUE SILVA;EDUARDO DA FONTE;;;
e8e945cc-2db7-4e30-8a09-73307aab294c;;1944-10-05;74075.0;ELCIONE THEREZINHA ZAHLUTH BARBALHO;ELCIONE BARBALHO;;;
6c56046c-8be2-4b6b-95eb-9ec825ef558c;;1979-03-18;141422.0;EFRAIM DE ARAÚJO MORAIS FILHO;EFRAIM FILHO;;;
c6ce70f7-7478-4fe5-b287-d24d98fba485;;1958-09-29;74173.0;EDUARDO COSENTINO DA CUNHA;EDUARDO CUNHA;;;
cbd6d9e3-8e13-4d83-92bf-83160bbe4b83;;1963-09-19;178977.0;EDUARDO PEDROSA CURY;EDUARDO CURY;;;
0b216403-8aaf-4957-8c99-127003b9a9ea;;1950-03-06;73793.0;EDSON BEZ DE OLIVEIRA;EDINHO BEZ;;;
