DataFim;DataInicio;NumeroLegislatura;org:role;sen:CodigoMandato;sen:UfParlamentar;slp:resource_uri
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;499;SC;f72531dc-10ef-4b9e-8658-6d15ab1e0106
2023-01-31;2019-02-01;56;d69fcc38-21a6-41ee-8c0f-90be24aff805;499;SC;daecddca-1f04-4906-a3e2-2ad16aafaee6
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;435;MG;30d2b162-8c65-42d0-bdf4-51cc60b24254
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;435;MG;2e9784c9-d979-4c64-831a-cbdb1f1dd9c5
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;516;SP;b9ca8310-c6dd-4610-8afd-37a7ca46c923
2023-01-31;2019-02-01;56;d69fcc38-21a6-41ee-8c0f-90be24aff805;516;SP;cc48f7f1-9461-4634-a81f-2c8ac0348d78
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;466;SC;fc946ef0-c902-47d9-a9bf-026634a72c27
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;466;SC;09ab42ee-3e25-4333-bd45-b2046ddb1280
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;447;MS;b8387855-74fe-4e32-a9bf-0f9111a2d91b
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;447;MS;15ec43cd-b862-4a57-93fe-8eff85f20dc0
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;486;RR;abc0914c-1794-4fd0-ba32-0881b674f963
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;486;RR;3bafa90d-e492-4128-b2d5-eb393046a958
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;441;MG;edfc6bab-840b-4298-a060-61b5a7a07a1a
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;441;MG;5173d45e-8e8e-4d53-927c-5ece5bc88dd2
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;460;RR;c6eb36f4-97e6-4afc-ae08-3a9b6b58eae9
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;460;RR;9751d9b9-cbdd-42e2-957f-8bc543a9476b
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;452;DF;a923832c-0b4a-42bd-8848-ecad826d972f
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;452;DF;1c9b4edc-b771-459e-9d30-1c891196a8b3
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;472;GO;1b817863-d30c-4f43-9e7a-f57a0df577b4
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;472;GO;a28686e9-b7ff-4219-b329-7f33b678c95e
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;479;PB;b26621f3-d2ec-4dc4-9486-a3bfc6479b18
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;479;PB;ac1153f4-223a-4f64-82cf-55aea7863feb
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;506;MT;884dd2e9-8e06-4434-8855-a4d900f04035
2023-01-31;2019-02-01;56;d69fcc38-21a6-41ee-8c0f-90be24aff805;506;MT;a807905b-b6c0-4b05-afa3-2fb34bdeadf1
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;454;BA;064e1265-c00d-4471-8716-fe75e17eae6b
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;454;BA;f43ca3db-d213-4f91-89a4-b98976dd9ea0
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;450;CE;b79aef85-0269-462b-9eca-c9818f959d98
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;450;CE;b4f76f90-e0f2-41fe-960c-52f57321ebd6
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;488;PI;aa1db1b2-2f8e-4299-952d-e782e65082a0
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;488;PI;a6415c43-e3d8-44f4-a44c-49940c130fc6
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;509;RJ;e6425d36-5f07-44dd-bc9a-5b18727bfacd
2023-01-31;2019-02-01;56;d69fcc38-21a6-41ee-8c0f-90be24aff805;509;RJ;57b87374-504e-4ef9-a471-d47006375c6b
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;440;PB;c4d1e207-6f1e-4ffb-acfc-e13e1e94f892
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;440;PB;a3d3e2f7-64e7-47fb-bc42-cf5e222594e9
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;451;TO;0d86e784-6f75-4476-b004-7fb7b601b67e
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;451;TO;562e3b49-c7bf-4323-91c1-3fb700226bd9
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;446;MS;de053968-500e-4967-9a8d-2065ab0b083c
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;446;MS;a2af5283-fe35-4668-9f83-768e0d3fe032
