cam:dataFim;cam:dataInicio;cam:siglaUFRepresentacao;org:member;org:post;org:postIn;org:role;slp:resource_uri
;2015-02-01;SP;15d73351-e972-4a4b-8bae-80ac730513b5;f3b037b1-edfd-41ea-9a7f-4f5562f201c4;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;2c322923-591d-474a-a244-a03626d9975c
;2015-02-01;MG;0328f737-88fc-4325-9e2a-300cec9b9cae;46683e1d-5dd1-4215-bb4c-b8b337ee16a1;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;305d4df6-4399-44b3-9487-1d6bc4aa1ac4
;2015-02-01;PA;31fbec5e-1e00-496c-a0f6-5d1e56c34cc5;089f3d89-d9ec-43e2-a629-58ec7356c216;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;cc0bb14f-ff92-48e3-8a18-4f96a525563a
;2015-02-01;PR;15a7dab6-461f-4543-929c-93d2e6ed0069;3d13ea52-bce4-4387-a198-a94aa75bf681;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;fd49df99-fbcb-4419-a727-528602c77e9c
;2015-02-01;ES;fda9e9b6-791b-4063-92dd-942f1bd28e88;db2b5838-3dd5-4222-86b6-bda143b35768;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;616a131c-0ca8-4e4f-aebf-eb3f5960f9a6
;2015-02-01;PE;e4658aff-e9cd-49a5-a2c5-7c557baa744c;a57d0b57-361a-45fa-b46a-7869c5c54438;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;0bc153e5-677f-4e34-9340-92a906753b72
2015-02-03;2015-02-01;SP;7dd105df-c756-44c3-9a42-7655937beeda;aaaa4999-2bbe-4f24-9a71-a80a5c54ad8e;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;1965c1a7-3981-4938-9b32-9f0e3e66f41c
;2015-02-01;RJ;f100aed0-b8f8-42e1-89a2-351d7fbcb69b;9ba6e363-940d-4f74-a3f9-3693faac438a;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;3df7833c-19db-4fd2-8998-682f953f6fcb
;2015-02-01;SC;84a09e64-bf05-49c3-b91c-ddfec4fee2e7;722e3397-28c1-4b6d-93db-f7011e6ec01c;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;ba2bb88e-90b3-47ea-a6d9-11d73b0c24af
;2015-02-01;RR;2497fcf9-d994-4c8e-b48e-a4be711b78fc;add0663a-42b1-4c7c-89c2-cb48fb9ecc67;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;98b34e33-11ea-4ced-8f20-5878c7a5e9d2
;2015-02-01;AP;aca6b811-13f6-44ea-9a5a-c5282d37a2aa;3ee8569e-da7b-46df-becb-968f13fe0216;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;8cc905c3-7080-442d-ad13-00bf9263b173
;2015-02-01;PE;5b3fe908-a9fa-47cb-84cb-a03dc49d26a2;465ec5c5-04cc-4efe-ae47-78213b900b8c;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;f142255e-a9ea-4ce1-9260-c18f5d5e1a2b
;2015-02-01;SP;9b2c766a-ba57-44ad-8cd6-19468fa82aeb;610df577-df0d-4caf-8356-921636ca0933;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;198d4f1c-97ee-4b80-a6b6-87dea2e8b986
;2015-02-01;PA;055e54d4-9a34-4cdf-ae4e-c9b6a933a2bf;45759bf5-3f81-463d-b4e5-cd2d517e0cac;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;306e67fa-90d0-42a9-afdd-15c143c63472
;2015-02-01;CE;b004a190-744c-47e6-af4f-ddffd36adc96;69fbba6e-0bdd-4901-ac17-ba76282ddee6;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;ac111305-3eab-4a45-ac2f-d29302e18c9c
;2015-02-01;RJ;99a43ef5-ded5-48bf-9792-dd1d74c5cd9c;f787d51d-960c-4daf-a008-410344c8116e;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;3bf2fd66-d320-4ec8-9ed6-441981d9f0ee
;2015-02-01;AP;9a5e3486-1552-476d-a619-fa898782adc3;d4d4165a-d624-4737-bc3b-5e1cae267470;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;70d81bad-7e71-4d5d-8f13-1a2387fea68e
;2015-02-01;BA;890ee311-1045-41ee-af3c-d267db92e573;cbe9bba0-53db-47bc-80a7-cce9f2d2c215;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;9cc410f4-eac5-417f-ad5a-1f15e5941280
;2015-02-01;RS;e2f3d761-a44a-4bae-bdcb-ddc5b865c410;4009aab1-45b7-41c5-a4fa-d97fd7e6f62c;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;a6bf1258-4982-4278-8b74-c72031b4a206
;2015-02-01;SP;81be1c11-327d-4965-baff-2ec0316df925;4fbd5c64-fce5-4e49-8af6-3f30e1b2c937;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;2f469e51-29b8-46de-b291-5c773abe2e05
;2015-02-01;MG;f3872356-c9a4-43e7-a342-1281395d1f04;bbac25df-21a7-4775-9e18-d4a9d3662058;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;3248285a-a101-4099-92b2-61fec5a84ffc
;2015-02-01;GO;118687ac-a58d-4f53-bc3e-aea766ff9049;87de4570-dddd-49ab-ba66-361ff48d50cd;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;4c092c1f-35cb-4be7-8bd3-4dcfdc26afc9
;2015-02-01;RO;52b945a0-5db5-44a4-b13c-61b64dd99165;c91eb8e2-0232-4e27-bb4d-f5da8d774353;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;46366ac8-3421-472e-adac-249e5bc3c655
;2015-02-01;SP;3458f5a3-cf98-42f4-b46a-64bae2b3e39c;72969662-1bb8-4e65-bc98-651a5bf9bf35;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;f44be2cd-7377-411f-b94c-8a74b62617b8
;2015-02-01;MG;96277a2a-f12c-49ee-a52a-2119d7f1fa4f;2d8fd751-b30d-4495-ab0d-4246b311b0ce;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;6334cbc9-303c-43dc-b777-17ee4fc6fecb
;2015-02-01;SP;32b7704b-7ccb-42a4-9864-0d10fad81f98;c5ed94a0-4222-4837-b3ba-42ace30cdc99;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;49953702-9553-4dd7-b5df-a32a01c4bc82
2017-04-11;2015-02-01;MG;f1c42f04-a2fd-4602-a9fb-3bf2ec66dd05;1f1e3482-a6c7-4c1a-b375-90b4135a75a6;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;9702bd69-97bd-4a62-8c15-2889a0de3ce3
;2015-02-01;MG;a1aca44b-e25f-4ffa-ba8c-a2280445731d;e6e20419-5a03-4310-b0ab-6d85397eeabd;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;74a24a4d-1820-43eb-b50f-5f739b0ae50e
;2015-02-01;RJ;8f7f8f69-5235-4e9d-a884-ce61d75fd613;395a1e3a-0dde-4596-9756-011405d6e06d;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;88c86121-ac87-47d6-b4df-aef21f55adce
