cam:dataFim;cam:dataInicio;cam:sigla;org:member;org:post;org:postIn;org:role;slp:resource_uri
;;PR;461af638-907e-4e3d-a786-6208567bae6c;4f4ec73c-99a0-4037-a19e-468bcaa8bbf6;7b211a38-df61-11e7-b1b8-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;970adb1e-1f62-492c-baf8-4a3026a12cf8
;;AVANTE;461af638-907e-4e3d-a786-6208567bae6c;5a9779af-e723-4502-bb88-203a30008c2d;7b21444a-df61-11e7-a137-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;93a6179e-5824-43e0-ab61-dc98914e1f04
;;PSDC;eff1391c-b46a-4f2e-bfce-65f9eddd3b35;05dfb950-2ea4-45c3-bd84-c1a3732e872c;7b212f8c-df61-11e7-bef6-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;50da2e08-1a21-4cde-a249-b7deb092b114
;;PMB;eff1391c-b46a-4f2e-bfce-65f9eddd3b35;1f5793f4-2ae0-42ec-9432-f8ba052a7ce5;7b213f54-df61-11e7-9eec-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;f2f6eec5-6c5b-4c85-997d-5e4cd49edecd
;;PTN;eff1391c-b46a-4f2e-bfce-65f9eddd3b35;a4600b22-7abf-4222-afae-0a513bad8add;7b214546-df61-11e7-b9be-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;358e44f3-8cc3-404f-839e-ffddfa1b430e
;;PODE;eff1391c-b46a-4f2e-bfce-65f9eddd3b35;b039847b-11f1-4b7c-8f0a-e53f6adb3ee5;7b214350-df61-11e7-b1a0-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;f2d6c412-de0d-4e67-bee9-4fd3470dbe5f
;;PT;f5735090-acbc-4d7b-b4bc-bdcd1c15c92a;29c3ecde-5d83-451e-8634-12d95260b0ce;7b2138a6-df61-11e7-baf1-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;eca1a125-53c0-4e10-96a3-d7e8dd94a388
;;PT;9aba8810-4581-4f77-ac52-73f353b125ad;b4ec3358-adbd-491f-b5ee-6bf7061654de;7b2138a6-df61-11e7-baf1-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;1ac35891-1ce0-42f1-9112-34266cf81135
;;PMB;9aba8810-4581-4f77-ac52-73f353b125ad;7581b7bf-5f9e-445a-9e87-5f5820bc1dcb;7b213f54-df61-11e7-9eec-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;e7e0a0a2-6331-4947-902d-755c6af2dd08
;;PDT;9aba8810-4581-4f77-ac52-73f353b125ad;c396e312-2357-44e0-bdf3-d0df72c58630;7b210070-df61-11e7-97e9-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;da899328-da19-46e3-b99e-78badd78c949
;;PSOL;d327aa35-6715-4841-a8df-e7288a767a03;e1338e5f-cfa6-4482-a8f5-cccc20535581;7b2132de-df61-11e7-8882-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;3ebf9494-3f55-4cdc-959a-220b82d17831
;;S.PART.;d327aa35-6715-4841-a8df-e7288a767a03;902051ca-b915-4224-9fff-7bf2f7f2d63d;7b214aa8-df61-11e7-a515-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;681a0e94-5b2a-473d-8bfc-4a8c0f1cdbcb
;;PTdoB;d327aa35-6715-4841-a8df-e7288a767a03;bec6c8dc-8c68-40c6-a70b-7170c14dbcd7;7b213c18-df61-11e7-9e2c-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;55d3b895-d275-402a-80a2-9f972b9ae493
;;AVANTE;d327aa35-6715-4841-a8df-e7288a767a03;5941da77-0b98-48ac-b86d-dc23a32b9c59;7b21444a-df61-11e7-a137-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;626302eb-f080-4da6-babe-15587586a515
;;PP;a3173bb6-fb1e-4ed7-9182-d0f657ff29b7;1cb18b78-8b5f-4598-8da4-daaf797de15c;7b21152e-df61-11e7-bdcf-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;83fbe85b-ce6a-43e1-974e-673ed69f9b2b
;;PMDB;8a31f6cd-fc1d-40c4-8fd4-5b03a5e548c6;2d22e81b-d23b-4f44-8c45-a6c419c02dc9;7b210cfa-df61-11e7-9864-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;83f9b165-b399-42b4-9125-bbb1f1f48dbb
;;PSDB;098797ec-2a48-41f8-898c-8b33452ea70c;63259556-303a-4613-bd88-c705690b7586;7b212e92-df61-11e7-aaf4-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;b1db0f4b-988d-457d-8d94-e6e3cc81d1cc
;;PSD;69ccdfae-6832-45fe-a9b2-58b0d170fbc8;532ed6f2-7ca4-4fe5-9074-c54199eadf02;7b212d98-df61-11e7-95f7-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;a0a5f415-659d-4e8c-ac31-1da25da9fc74
;;PSDB;69ccdfae-6832-45fe-a9b2-58b0d170fbc8;da87c9c2-ce73-4e78-9d82-9272d8ddd327;7b212e92-df61-11e7-aaf4-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;421fd2c2-5393-47ca-8537-3539bb20b629
;;DEM;d8366b31-40f2-4558-bce3-4c24c8897c1b;bbb1c665-4a71-43d8-b780-5c6dc4342f2e;7b20ed7e-df61-11e7-bb65-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;883a317a-d09a-42a7-ae98-588f9d6d4f21
;;PMDB;59c7bbf5-1b53-471c-8448-8e4f280f52ef;fb2ba20f-7399-4fc6-bb8d-87ece4b471f1;7b210cfa-df61-11e7-9864-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;6130e363-06f7-411a-9a91-eabac610bcc9
;;SD;2ea5d284-fb53-4cc1-8891-aa7843c77504;bc5a510c-9bc9-4d37-9214-086a6f102c93;7b20e8d8-df61-11e7-8928-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;3362322d-c3a9-4e62-b414-6a1b3bd8152b
;;PSL;2ea5d284-fb53-4cc1-8891-aa7843c77504;7a6c0a95-ae14-4cfe-ac78-5888a4453bd6;7b213086-df61-11e7-aa5b-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;53ab3eff-a7a8-4ba8-a597-3d77b143268d
;;PMDB;6b2cea53-544d-4dbc-84e2-413132f121e6;78272ee2-f344-4c82-9d6f-f7764aaba10f;7b210cfa-df61-11e7-9864-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;c36e0e40-096b-477f-beaa-a6c6f475371b
;;PMB;6b2cea53-544d-4dbc-84e2-413132f121e6;61c2b0fc-3217-4b4a-b65c-dd33df881f92;7b213f54-df61-11e7-9eec-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;eb20aa14-347e-4fb5-8087-3a969093b634
;;PTN;6b2cea53-544d-4dbc-84e2-413132f121e6;ff34c685-b14f-4d8e-9fef-7698f8f8ce8b;7b214546-df61-11e7-b9be-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;e0eefec3-f331-40e9-9e66-5dbeafe5812a
;;PODE;6b2cea53-544d-4dbc-84e2-413132f121e6;66d8faa9-3a29-4939-9e2d-903450fd270d;7b214350-df61-11e7-b1a0-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;07def722-13f0-4eec-a68f-d380f8e9e6ab
;;PMDB;08f29f51-d0dc-46ac-b318-378e0f7be3d8;a19bce33-6f7a-44ed-bfd8-96c1cdb0b039;7b210cfa-df61-11e7-9864-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;9167229a-2327-4a76-bc79-007834b7a232
;;PSB;08f29f51-d0dc-46ac-b318-378e0f7be3d8;62bfa786-63fd-43c1-95d8-b1756bc4773b;7b212b86-df61-11e7-9f98-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;8adc1ffe-95b6-4f7a-afd0-427dc2e38670
