cam:dataFalecimento;cam:dataNascimento;cam:ideCadastro;cam:nomeCivil;cam:nomeParlamentarAtual;slp:resource_uri
;1966-10-12;73569;JORGE DOS REIS PINHEIRO;JORGE PINHEIRO;
;1961-10-31;73874;JOÃO ALBERTO PIZZOLATTI JÚNIOR;JOÃO PIZZOLATTI;
;1952-12-31;160549;JOÃO PAULO LIMA E SILVA;JOÃO PAULO LIMA;
;1960-02-06;74120;JOÃO LÚCIO MAGALHÃES BIFANO;JOÃO MAGALHÃES;
;1948-10-25;74686;JORGE RICARDO BITTAR;JORGE BITTAR;
;1958-06-06;73534;JOÃO PAULO CUNHA;JOÃO PAULO CUNHA;
;1953-09-20;141459;JOÃO DA SILVA MAIA;JOÃO MAIA;
;1931-06-17;74049;JOÃO JOSÉ PEREIRA DE LYRA;JOÃO LYRA;
;1946-02-27;74550;JOÃO FELIPE DE SOUZA LEÃO;JOÃO LEÃO;
;1960-06-24;74559;JOÃO CALDAS DA SILVA;JOÃO CALDAS;
;1963-04-17;141457;JOÃO BITTAR JÚNIOR;JOÃO BITTAR;
;1954-04-23;160574;JOÃO ANANIAS VASCONCÉLOS NETO;JOÃO ANANIAS;
;1976-05-22;160573;JOÃO JOSÉ DE ARRUDA JÚNIOR;JOÃO ARRUDA;
;1946-08-09;141503;MARIA DO SOCORRO JÔ MORAES;JÔ MORAES;
;1983-09-03;160531;JOHNATHAN PEREIRA DE JESUS;JHONATAN DE JESUS;
;1959-04-09;160671;JESUS RODRIGUES ALVES;JESUS RODRIGUES;
;1976-01-20;160570;JERÔNIMO PIZZOLOTTO GOERGEN;JERÔNIMO GOERGEN;
;1965-06-25;141456;JILMAR AUGUSTINHO TATTO;JILMAR TATTO;
;1964-10-26;74273;JEFFERSON ALVES DE CAMPOS;JEFFERSON CAMPOS;
;1962-08-18;97822;JAQUELINE MARIA RORIZ;JAQUELINE RORIZ;
;1946-11-03;141455;JANETE ROCHA PIETÁ;JANETE ROCHA PIETÁ;
;1962-12-28;74366;JOÃO CAMPOS DE ARAÚJO;JOÃO CAMPOS;
;1974-03-10;160672;JEAN WYLLYS DE MATOS SANTOS;JEAN WYLLYS;
;1957-05-17;74848;JANDIRA FEGHALI;JANDIRA FEGHALI;
;1944-09-18;3151;JAIRO ATAÍDE VIEIRA;JAIRO ATAÍDE;
;1949-05-12;73926;JANETE MARIA GÓES CAPIBERIBE;JANETE CAPIBERIBE;
;1955-03-21;74847;JAIR MESSIAS BOLSONARO;JAIR BOLSONARO;
;1953-06-17;74665;JAIME MARTINS FILHO;JAIME MARTINS;
;1956-04-07;4931;IZALCI LUCAS FERREIRA;IZALCI;
;1948-03-18;74152;ISAIAS SILVESTRE;ISAIAS SILVESTRE;
;1943-05-07;141453;ÍRIS DE ARAÚJO REZENDE MACHADO;ÍRIS DE ARAÚJO;
;1956-02-12;74162;IRINY NICOLAU CORRES LOPES;IRINY LOPES;
;1938-10-21;74421;INOCÊNCIO GOMES DE OLIVEIRA;INOCÊNCIO OLIVEIRA;
;1966-04-23;67138;IRACEMA MARIA PORTELLA NUNES NOGUEIRA LIMA;IRACEMA PORTELLA;
;1952-06-02;74780;IARA BERNARDI;IARA BERNARDI;
;1934-06-03;74662;HUMBERTO GUIMARÃES SOUTO;HUMBERTO SOUTO;
;1943-10-31;160974;HUGO NAPOLEÃO DO REGO NETO;HUGO NAPOLEÃO;
;1946-07-05;73531;IVAN VALENTE;IVAN VALENTE;
;1989-09-11;160674;HUGO MOTTA WANDERLEY DA NÓBREGA;HUGO MOTTA;
;1962-08-06;141450;HUGO LEAL MELO DA SILVA;HUGO LEAL;
2013-10-20;1955-05-25;141448;HOMERO ALVES PEREIRA;HOMERO PEREIRA;
;1978-02-06;160596;HEULER ABREU CRUVINEL;HEULER CRUVINEL;
;1983-02-03;81232;IRAJÁ SILVESTRE FILHO;IRAJÁ ABREU;
;1960-10-16;68731;JOSÉ HENRIQUE OLIVEIRA;HENRIQUE OLIVEIRA;
;1963-12-01;160590;HÉLIO BATISTA DOS SANTOS;HÉLIO SANTOS;
;1960-01-18;73482;HENRIQUE FONTANA JÚNIOR;HENRIQUE FONTANA;
;1948-12-09;74324;HENRIQUE EDUARDO LYRA ALVES;HENRIQUE EDUARDO ALVES;
;1958-04-25;73772;HERMES PARCIANELLO;HERMES PARCIANELLO;
;1963-02-22;175737;HELCIO ANTONIO DA SILVA;HELCIO SILVA;
;1980-12-26;176120;GUSTAVO LEMOS PETTA;GUSTAVO PETTA;
;1952-12-14;73935;DARCY HUMBERTO MICHILES;HUMBERTO MICHILES;
;1982-10-14;160667;GUILHERME MUSSI FERREIRA;GUILHERME MUSSI;
;1962-11-20;141447;GUILHERME CAMPOS JÚNIOR;GUILHERME CAMPOS;
;1946-04-26;74419;LUIZ GONZAGA PATRIOTA;GONZAGA PATRIOTA;
;1952-04-10;129618;MARIA GORETE PEREIRA;GORETE PEREIRA;
;1954-10-07;173802;GOIACIARA TAVARES CRUZ;GOIACIARA CRUZ;
;1964-12-03;73940;HENRIQUE AFONSO SOARES LIMA;HENRIQUE AFONSO;
;1978-03-26;141446;GLADSON DE LIMA CAMELI;GLADSON CAMELI;
;1946-07-15;74077;GIOVANNI CORRÊA QUEIROZ;GIOVANNI QUEIROZ;
;1957-10-14;74558;GIVALDO DE SÁ GOUVEIA;GIVALDO CARIMBÃO;
;1960-06-23;160673;GIOVANI CHERINI;GIOVANI CHERINI;
;1961-11-06;74581;GILMAR ALVES MACHADO;GILMAR MACHADO;
;1982-06-26;152605;GLAUBER DE MEDEIROS BRAGA;GLAUBER BRAGA;
;1959-09-23;160562;EDSON GIROTO;GIROTO;
;1953-11-13;74566;GERALDO SIMÕES DE OLIVEIRA;GERALDO SIMÕES;
;1989-03-10;145895;JOSÉ GERARDO CORRÊA DE ARRUDA;GERA ARRUDA;
;1945-10-26;74151;GERALDO THADEU PEDREIRA DOS SANTOS;GERALDO THADEU;
;1971-06-11;141441;GEORGE HILTON DOS SANTOS CECÍLIO;GEORGE HILTON;
