cam:dataFalecimento;cam:dataNascimento;cam:ideCadastro;cam:nomeCivil;cam:nomeParlamentarAtual;slp:resource_uri
;1962-10-06;164360;CARMEN EMÍLIA BONFÁ ZANOTTO;CARMEN ZANOTTO;
;1977-06-19;73924;DAVID SAMUEL ALCOLUMBRE TOBELEM;DAVI ALCOLUMBRE;
;1959-06-08;141398;CARLOS ALBERTO ROLIM ZARATTINI;CARLOS ZARATTINI;
;1952-10-29;160624;CÉLIA MARIA BARBOSA ROCHA;CELIA ROCHA;
;1952-08-17;73934;CARLOS ALBERTO CAVALCANTE DE SOUZA;CARLOS SOUZA;
;1963-03-31;74262;CARLOS HENRIQUE FOCESI SAMPAIO;CARLOS SAMPAIO;
;1955-12-25;165583;CARLOS ROBERTO DE CAMPOS;CARLOS ROBERTO;
;1940-04-23;74474;CARLOS EDUARDO CINTRA DA COSTA PEREIRA;CARLOS EDUARDO CADOCA;
;1947-03-11;74651;CARLOS DO CARMO ANDRADE MELLES;CARLOS MELLES;
;1958-06-02;141402;CARLOS ORLEANS BRANDÃO JUNIOR;CARLOS BRANDÃO;
;1961-06-19;74290;CARLOS ALBERTO LERÉIA DA SILVA;CARLOS ALBERTO LERÉIA;
;1941-11-04;141401;CARLOS GOMES BEZERRA;CARLOS BEZERRA;
;1963-06-25;160584;CARLOS JOSE DE ALMEIDA;CARLINHOS ALMEIDA;
;1939-08-13;141440;FRANCISCO LOPES DA SILVA;CHICO LOPES;
;1950-10-03;160585;CARLAILE JESUS PEDROSA;CARLAILE PEDROSA;
;1958-06-16;160605;CARLOS MAGNO RAMOS;CARLOS MAGNO;
;1955-09-26;141396;CÂNDIDO ELPÍDIO DE SOUZA VACCAREZZA;CÂNDIDO VACCAREZZA;
;1971-01-13;168034;JULIANO DE SOUZA RABELO;CABO JULIANO RABELO;
;1923-07-26;141395;CAMILO COLA;CAMILO COLA;
;1972-03-15;141394;BRUNO CAVALCANTI DE ARAÚJO;BRUNO ARAÚJO;
;1962-02-05;160538;ELVINO JOSÉ BOHN GASS;BOHN GASS;
;1930-05-14;74650;BONIFÁCIO JOSÉ TAMM DE ANDRADA;BONIFÁCIO DE ANDRADA;
;1963-06-08;141513;OLAVO BILAC PINTO NETO;BILAC PINTO;
;1952-03-09;74373;ANTONIO CARLOS BIFFI;BIFFI;
;1957-08-07;74163;CARLOS HUMBERTO MANNATO;CARLOS MANATO;
;1951-07-07;73437;PAULO ROBERTO GOMES MANSUR;BETO MANSUR;
;1969-06-20;141335;JOSÉ ROBERTO OLIVEIRA FARO;BETO FARO;
;1963-01-06;73478;LUIZ ROBERTO DE ALBUQUERQUE;BETO ALBUQUERQUE;
;1970-08-05;141393;BRUNO CAMPELO RODRIGUES DE SOUZA;BRUNO RODRIGUES;
;1948-12-23;74321;CARLOS ALBERTO DE SOUSA ROSADO;BETINHO ROSADO;
;1975-12-08;109152;BERNARDO DE VASCONCELLOS MOREIRA;BERNARDO SANTANA DE VASCONCELLOS;
;1958-11-20;160554;HERBSON JAIRO RIBEIRO BANTIM;BERINHO BANTIM;
;1942-04-26;73701;BENEDITA SOUZA DA SILVA SAMPAIO;BENEDITA DA SILVA;
;1962-06-09;178834;ADALBERTO SOUZA GALVÃO;BEBETO GALVÃO;
;1979-02-17;160512;AUREO LIDIO MOREIRA RIBEIRO;AUREO;
;1983-04-28;160589;BRUNA DIAS FURLAN;BRUNA FURLAN;
;1947-04-07;74459;ÁTILA FREITAS LIRA;ÁTILA LIRA;
;1962-09-14;160581;ASSIS FLÁVIO DA SILVA MELO;ASSIS MELO;
;1950-11-22;74090;ÁTILA SIDNEY LINS ALBUQUERQUE;ÁTILA LINS;
;1961-10-17;74378;ASSIS MIGUEL DO COUTO;ASSIS DO COUTO;
;1961-09-09;159237;FRANCISCO DE ASSIS CARVALHO GONÇALVES;ASSIS CARVALHO;
;1939-07-27;74222;ASDRÚBAL MENDES BENTES;ASDRUBAL BENTES;
;1969-06-25;160541;ARTHUR CÉSAR PEREIRA DE LIRA;ARTHUR LIRA;
;1937-03-11;74833;AROLDE DE OLIVEIRA;AROLDE DE OLIVEIRA;
;1958-11-30;160602;ARNALDO JORDY FIGUEIREDO;ARNALDO JORDY;
;1951-08-13;74291;JOSÉ ARNON CRUZ BEZERRA DE MENEZES;ARNON BEZERRA;
;1959-08-04;160678;ARTUR JOSÉ VIEIRA BRUNO;ARTUR BRUNO;
;1965-08-03;160546;ARMANDO VERGÍLIO DOS SANTOS JÚNIOR;ARMANDO VERGÍLIO;
;1944-12-29;74405;ARMANDO ABILIO VIEIRA;ARMANDO ABÍLIO;
;1971-11-30;74040;BENJAMIN GOMES MARANHÃO NETO;BENJAMIN MARANHÃO;
;1941-05-03;74648;ARACELY DE PAULA;ARACELY DE PAULA;
;1938-10-11;74103;FRANCISCO ARIOSTO HOLANDA;ARIOSTO HOLANDA;
;1942-06-20;141390;ANTÔNIO ROBERTO SOARES;ANTÔNIO ROBERTO;
;1948-03-12;160530;ANTONIO JOSÉ IMBASSAHY DA SILVA;ANTONIO IMBASSAHY;
;1946-06-13;73584;ANTONIO CARLOS DE MENDES THAME;ANTONIO CARLOS MENDES THAME;
;1969-01-17;160553;ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO;ANTONIO BRITO;
;1953-06-18;141387;ANTÔNIO EUSTÁQUIO ANDRADE FERREIRA;ANTÔNIO ANDRADE;
;1949-08-22;74213;ANTONIO BALHMANN CARDOSO NUNES FILHO;ANTONIO BALHMANN;
;1968-05-05;141383;ANTONIO CARLOS MARTINS DE BULHÕES;ANTONIO BULHÕES;
;1960-04-18;160539;ANTHONY WILLIAM GAROTINHO MATHEUS DE OLIVEIRA;ANTHONY GAROTINHO;
;1979-01-26;74058;ANTÔNIO CARLOS PEIXOTO DE MAGALHÃES NETO;ANTONIO CARLOS MAGALHÃES NETO;
;1952-12-25;73937;ANSELMO DE JESUS ABREU;ANSELMO DE JESUS;
;1954-09-18;160638;JOSELI ÂNGELO AGNOLIN;ÂNGELO AGNOLIN;
;1964-08-17;160600;ARTHUR DE OLIVEIRA MAIA DA SILVA;ARTHUR OLIVEIRA MAIA;
;1955-06-19;141381;ANGELO CARLOS VANHONI;ANGELO VANHONI;
;1953-06-07;74212;ANÍBAL FERREIRA GOMES;ANÍBAL GOMES;
;1974-07-13;141379;ANDREIA ALMEIDA ZITO DOS SANTOS;ANDREIA ZITO;
;1949-12-24;73433;ARLINDO CHIGNALIA JUNIOR;ARLINDO CHINAGLIA;
;1960-12-12;161905;ANDRÉ TEIXEIRA DIAS;ANDRÉ DIAS;
;1972-12-10;160551;ANDERSON FERREIRA RODRIGUES;ANDERSON FERREIRA;
;1939-07-07;74377;ANDRÉ ZACHAROW;ANDRÉ ZACHAROW;
;1972-02-23;160543;ANDRÉ LUIS DANTAS FERREIRA;ANDRE MOURA;
;1966-11-10;133439;ANDRÉ PEIXOTO FIGUEIREDO LIMA;ANDRÉ FIGUEIREDO;
;1964-03-02;141378;ANDRÉ LUIZ VARGAS ILÁRIO;ANDRE VARGAS;
;1953-09-28;160626;JOSÉ ALMEIDA LIMA;ALMEIDA LIMA;
;1950-12-08;116663;ALFREDO HELIO SYRKIS;ALFREDO SIRKIS;
;1973-03-25;141375;ALINE LEMOS CORRÊA DE OLIVEIRA ANDRADE;ALINE CORRÊA;
;1959-05-16;74057;ALICE MAZZUCO PORTUGAL;ALICE PORTUGAL;
;1956-03-28;169712;ALEXANDRE DE MELO TOLEDO;ALEXANDRE TOLEDO;
;1970-07-15;141374;ALEXANDRE SILVEIRA DE OLIVEIRA;ALEXANDRE SILVEIRA;
;1964-11-12;160579;ALEXANDRE RUBIO ROSO;ALEXANDRE ROSO;
;1957-12-01;160603;AMAURI SANTOS TEIXEIRA;AMAURI TEIXEIRA;
;1947-07-28;141377;ANA LÚCIA ARRAES DE ALENCAR;ANA ARRAES;
;1954-09-04;74830;ALEXANDRE JOSÉ DOS SANTOS;ALEXANDRE SANTOS;
;1961-07-22;74471;ANDRÉ CARLOS ALVES DE PAULA FILHO;ANDRÉ DE PAULA;
;1955-11-07;141454;JACOB ALFREDO STOFFELS KAEFER;ALFREDO KAEFER;
;1989-04-18;160545;ALEXANDRE LEITE DA SILVA;ALEXANDRE LEITE;
;1952-05-03;74829;ALEXANDRE AGUIAR CARDOSO;ALEXANDRE CARDOSO;
;1971-10-28;160511;ALESSANDRO LUCCIOLA MOLON;ALESSANDRO MOLON;
;1964-06-11;73458;ALEX CANZIANI SILVEIRA;ALEX CANZIANI;
