org:member;org:postIn;org:role;org:startDate;owner;resource_uri
825;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-02-01;;1c0b01f5-46c7-4b34-9756-ac11ff1a1e1e
3741;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-02-01;;b5f39c1a-05d4-4422-924c-fce0e40a80d9
5020;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-02-03;87;0fc29293-1d72-416d-a382-9890c4e9a7fe
5018;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2017-12-18;16;e0c3136a-1fd4-4b20-9ffa-d045fc417534
5617;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2016-09-14;4981;5f22b121-da16-4de2-9d31-70faa3804299
5523;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2015-02-01;;d9f81d14-df62-431e-bfd8-01cd513803a6
5525;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2015-02-01;;a597f631-9d2c-48a6-bd78-449a092f7301
64;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2014-07-16;5004;a0e4d335-6ae6-4c3e-b71f-22ff85e63389
4998;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-02-01;;4041d149-1a1d-484f-b5dc-420fda1372ca
1023;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2017-01-01;;4d618e12-c383-44ab-9c39-1d34fa2a4c1b
1023;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2016-08-22;;4d618e12-c383-44ab-9c39-1d34fa2a4c1b
1023;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2016-05-10;;4d618e12-c383-44ab-9c39-1d34fa2a4c1b
1023;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2015-02-01;;4d618e12-c383-44ab-9c39-1d34fa2a4c1b
5000;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2014-11-13;;5a8de172-58b5-47c6-98c5-5b952affdaa8
5000;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-02-01;;5a8de172-58b5-47c6-98c5-5b952affdaa8
3366;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2016-10-01;;2ace8753-a5fd-4db3-a689-e378798da1b2
3366;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2014-03-17;;2ace8753-a5fd-4db3-a689-e378798da1b2
3366;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-02-01;;2ace8753-a5fd-4db3-a689-e378798da1b2
631;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-02-01;;12da5b54-5bdc-4d33-98dc-3b23f831e157
643;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-02-01;;abeb4987-4c0f-40b4-a811-7a64fcb8c104
4575;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-02-01;;adf29c8d-e7dd-4839-8275-833008d71d75
