cam:finishDate;cam:sigla;cam:startDate;org:member;org:role;org:role;slnp:resource_uri;org:postIn
;PODE;;12742186-5bc8-4bd9-932c-fe247f8c6f3c;6a688541-b16a-45ca-8aa9-fa700373279f;0a5e31cb-8102-4f16-acc7-22f5e10b5d10;1fc0c50c-e41a-4618-9bf9-acdb39e2da44;7b214350-df61-11e7-b1a0-c82a144c0a85
;PHS;;12742186-5bc8-4bd9-932c-fe247f8c6f3c;6a688541-b16a-45ca-8aa9-fa700373279f;e10c8d39-4c53-4c79-9dca-ac37417c2abc;39cef204-d5a6-4f9a-bddf-7636744ba10c;7b2107c8-df61-11e7-a617-c82a144c0a85
;PSDB;;15d73351-e972-4a4b-8bae-80ac730513b5;6a688541-b16a-45ca-8aa9-fa700373279f;98815f33-a3de-4950-920b-9ab8a8280eec;d5aab0c8-d8f0-4e47-a746-603838d748f2;7b212e92-df61-11e7-aaf4-c82a144c0a85
;PSDB;;0328f737-88fc-4325-9e2a-300cec9b9cae;6a688541-b16a-45ca-8aa9-fa700373279f;1d5d638c-f1be-4920-8239-774f2a33bd8b;111b9fe0-d8c5-463d-b5c4-131f6abde48d;7b212e92-df61-11e7-aaf4-c82a144c0a85
;PSOL;;31fbec5e-1e00-496c-a0f6-5d1e56c34cc5;6a688541-b16a-45ca-8aa9-fa700373279f;dfe5f9d2-9076-4041-8e34-b483e54e1fca;1e5c4d4a-fcd0-45bd-a425-3274f6f025f5;7b2132de-df61-11e7-8882-c82a144c0a85
;PP;;15a7dab6-461f-4543-929c-93d2e6ed0069;6a688541-b16a-45ca-8aa9-fa700373279f;167fe21c-7078-48bc-9c5e-9e51d4069622;0fa74f94-71dd-418f-9cc7-15d0a611d549;7b21152e-df61-11e7-bdcf-c82a144c0a85
;PV;;fda9e9b6-791b-4063-92dd-942f1bd28e88;6a688541-b16a-45ca-8aa9-fa700373279f;8d3a13d5-6693-4676-8e44-7cbd584b404d;a15da683-b6c0-47e4-83d3-6a401c2c17ed;7b2148e6-df61-11e7-b174-c82a144c0a85
;PSDB;;e4658aff-e9cd-49a5-a2c5-7c557baa744c;6a688541-b16a-45ca-8aa9-fa700373279f;28d8be68-cb51-4091-8fe6-d7c20d58a830;b07f103e-97af-4b26-ac5b-d0d43c64b1cf;7b212e92-df61-11e7-aaf4-c82a144c0a85
;PPS;;e4658aff-e9cd-49a5-a2c5-7c557baa744c;6a688541-b16a-45ca-8aa9-fa700373279f;ee5e85fd-a55d-4eaf-affc-2a1004bb6ae4;874cf193-9a5b-46e5-ae59-ec24ffd32dde;7b21193e-df61-11e7-8869-c82a144c0a85
;PSDB;;7dd105df-c756-44c3-9a42-7655937beeda;6a688541-b16a-45ca-8aa9-fa700373279f;c0309032-c55b-4e4a-b24e-1085ed36b8aa;df4f2948-a298-4398-9a16-8cb678b0f9b6;7b212e92-df61-11e7-aaf4-c82a144c0a85
;PDT;;ecbfdca4-942a-4477-80f1-5f6935e14eea;6a688541-b16a-45ca-8aa9-fa700373279f;5c84d025-e7c1-4c67-9aa9-d13b2347ee34;db210371-d972-44d3-8ed2-8b0bb6fc78c0;7b210070-df61-11e7-97e9-c82a144c0a85
;PSB;;f100aed0-b8f8-42e1-89a2-351d7fbcb69b;6a688541-b16a-45ca-8aa9-fa700373279f;c064c0de-ddc0-478c-92b1-8ba078221ac8;855da853-95d6-49b4-ae43-7ac3c350eeb5;7b212b86-df61-11e7-9f98-c82a144c0a85
;PSOL;;f100aed0-b8f8-42e1-89a2-351d7fbcb69b;6a688541-b16a-45ca-8aa9-fa700373279f;65735c51-cda0-4f3b-b604-fe1902c72b31;9210647f-724e-4f0d-97ac-674b8cba1fd9;7b2132de-df61-11e7-8882-c82a144c0a85
;PP;;84a09e64-bf05-49c3-b91c-ddfec4fee2e7;6a688541-b16a-45ca-8aa9-fa700373279f;1b87af00-8bac-4bca-958a-ed416513935b;b428113c-7898-4845-abb7-b42f746011a0;7b21152e-df61-11e7-bdcf-c82a144c0a85
;PSB;;99b1944f-c6cd-4128-a4d3-15c7fb9aac78;6a688541-b16a-45ca-8aa9-fa700373279f;708eb97c-4f3d-4bda-b11a-6dff8a8a6496;9efbcca3-e64f-4a14-b929-43639e859133;7b212b86-df61-11e7-9f98-c82a144c0a85
;PMN;;2497fcf9-d994-4c8e-b48e-a4be711b78fc;6a688541-b16a-45ca-8aa9-fa700373279f;f3e58406-6c82-4178-9461-9c2db82f29df;8e3faae8-7634-473a-9c8a-1b656e259e6a;7b210e1c-df61-11e7-b99b-c82a144c0a85
;PMB;;2497fcf9-d994-4c8e-b48e-a4be711b78fc;6a688541-b16a-45ca-8aa9-fa700373279f;1f187923-3dee-4e0c-b703-3544cfb53850;6e3f5d5e-7c7a-4e95-a116-3c6528454a46;7b213f54-df61-11e7-9eec-c82a144c0a85
;S.PART.;;2497fcf9-d994-4c8e-b48e-a4be711b78fc;6a688541-b16a-45ca-8aa9-fa700373279f;c8302433-c605-48ce-a305-e7063fb8ed78;d00af337-118e-4243-8fac-b8aa3ae54dc1;7b214aa8-df61-11e7-a515-c82a144c0a85
;PP;;2497fcf9-d994-4c8e-b48e-a4be711b78fc;6a688541-b16a-45ca-8aa9-fa700373279f;60b6132c-6564-4476-8861-3c9abd2d8705;3c75302d-adff-4108-bba3-46a37239c657;7b21152e-df61-11e7-bdcf-c82a144c0a85
;PSB;;aca6b811-13f6-44ea-9a5a-c5282d37a2aa;6a688541-b16a-45ca-8aa9-fa700373279f;6ea08e5f-2b9d-48fe-954a-2ec7e4bd53ca;b34dabff-5e1c-45d6-a5a5-2dbfcd4f609b;7b212b86-df61-11e7-9f98-c82a144c0a85
;PSB;;5b3fe908-a9fa-47cb-84cb-a03dc49d26a2;6a688541-b16a-45ca-8aa9-fa700373279f;e4ce19ba-5162-4cf3-89f5-33b237ee6490;b85f9f60-1282-4a51-9508-1bb12226d054;7b212b86-df61-11e7-9f98-c82a144c0a85
;PROS;;5b3fe908-a9fa-47cb-84cb-a03dc49d26a2;6a688541-b16a-45ca-8aa9-fa700373279f;8c439765-0318-47f5-b720-a33ec3577343;700dbbb0-ac14-4dc4-aa79-c14155caa238;7b20e63a-df61-11e7-b49c-c82a144c0a85
;PRB;;9b2c766a-ba57-44ad-8cd6-19468fa82aeb;6a688541-b16a-45ca-8aa9-fa700373279f;bd7caad7-a42a-4761-a20c-e39a665c0424;30261ba1-8074-48cc-aea7-a0f1895179f8;7b211b34-df61-11e7-b235-c82a144c0a85
;PP;;9b2c766a-ba57-44ad-8cd6-19468fa82aeb;6a688541-b16a-45ca-8aa9-fa700373279f;ea71c97e-14e8-463f-b0a8-2463d7a20be3;f6135046-3fee-428b-bc05-ee07597b40df;7b21152e-df61-11e7-bdcf-c82a144c0a85
