sen:CodigoParlamentar;sen:NomeCompletoParlamentar;sen:NomeParlamentar;slnp:resource_uri
5040;Lirio Albino Parisotto;Lirio Albino Parisotto;9ede5195-8749-42c2-8064-197a9b4e12be
5092;Luis Carlos Paes de Castro;Luis Carlos Paes de Castro;5dd0be1e-e0ca-4eb7-a00e-0253069d76c2
5156;Lauro Antonio Texeira Menezes;Lauro Antonio;213f228e-0779-480d-bf50-0441f18271e5
3695;Luiz Lindbergh Farias Filho;Lindbergh Farias;da61aadb-297d-4787-9136-b12e37032b7c
5533;Lasier Costa Martins;Lasier Martins;b0ab39a3-88c9-4dcf-948f-8774bcc8c667
3579;Edison Lobão Filho;Lobão Filho;c154a845-14b4-4d1b-8aec-44387e87436d
1249;Kátia Regina de Abreu;Kátia Abreu;11f174a8-fd53-4fa1-93d4-9262fdde053e
415;Lael Vieira Varella;Lael Varella;fa74efa4-ceda-4d84-856e-047e78c73578
3593;João Faustino Ferreira Neto;João Faustino;a1f3fdce-32cf-4a26-adc6-1c2dc933358d
916;João Batista de Jesus Ribeiro;João Ribeiro;e85e195d-1c70-4fe0-ba17-c913b99bad1b
5066;Juçara Feitosa de Oliveira;Juçara Feitosa de Oliveira;c87b5242-449a-4559-b562-b00b42fb14a8
5158;Antonio Carlos Porto de Andrade;Kaká Andrade;335b9d27-2219-444e-a697-8e8096c7e20c
3394;João Alberto Rodrigues Capiberibe;João Capiberibe;0a67bb39-9166-4495-a203-f0d7406b9ea6
5166;João Costa Ribeiro Filho;João Costa;13f49551-5fd2-408c-87ea-e126a006aae3
5186;João Claudino Fernandes;João Claudino Fernandes;0f386395-e698-4a9f-a7f8-9d4e291b0b59
5613;João Batista da Rocha Lemos;João Batista Lemos;deda0f1e-5cba-48ab-93a6-764de5fb07db
5184;José Ribamar Noleto de Santana;José Ribamar Noleto de Santana;0bea9a31-68a6-474c-b81a-9af2d823bcea
615;José Barroso Pimentel;José Pimentel;ae413f0e-5bcd-4933-8959-28e0a67ddc7c
